ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_pop_#,ghsl_total_pop_#,relative_exposure_pct
UGA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,47357.82,15045122.0,0.3147719240827691
UGA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,268226.28,15045122.0,1.7828122630045806
UGA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,26538.762,15045122.0,0.1763944619392252
UGA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,55163.805,17594340.0,0.313531539119967
UGA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,316562.75,17594340.0,1.799230604842239
UGA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,30715.111,17594340.0,0.17457381748903342
UGA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,61895.523,20686138.0,0.2992125596377632
UGA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,365359.44,20686138.0,1.7662042088281533
UGA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,34223.047,20686138.0,0.16543951799992826
UGA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,67696.85,24025456.0,0.28177134286233735
UGA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,414237.47,24025456.0,1.724160698552402
UGA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,37041.918,24025456.0,0.15417779375342552
UGA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,73627.555,27951298.0,0.26341372411399283
UGA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,468340.9,27951298.0,1.6755604694994846
UGA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,40442.668,27951298.0,0.14468976718004295
UGA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,81282.16,32346624.0,0.25128483269227725
UGA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,533593.3,32346624.0,1.649610481761559
UGA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,45174.97,32346624.0,0.13965899501598683
UGA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,91723.52,37481880.0,0.24471429928274677
UGA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,618193.7,37481880.0,1.649313481607646
UGA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,51975.734,37481880.0,0.1386689621758567
UGA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,110205.586,44406864.0,0.24817241316567634
UGA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,738232.7,44406864.0,1.6624292586839728
UGA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,63689.344,44406864.0,0.14342229615673827
ZMB,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,28885.387,4925531.0,0.5864420912181854
ZMB,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,125377.125,4925531.0,2.5454539825249296
ZMB,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,15434.546,4925531.0,0.31335801155246
ZMB,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,32913.004,5715458.0,0.5758594324374354
ZMB,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,149009.08,5715458.0,2.6071240485014497
ZMB,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,17402.418,5715458.0,0.3044798509585759
ZMB,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,39271.543,6681634.5,0.5877535354560325
ZMB,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,179913.66,6681634.5,2.692659408412717
ZMB,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,20646.074,6681634.5,0.3089973568593134
ZMB,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,46348.2,7681546.5,0.6033706884414486
ZMB,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,213449.58,7681546.5,2.7787318608303675
ZMB,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,24269.594,7681546.5,0.31594671723981627
ZMB,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,51846.66,8678700.0,0.5974012236855751
ZMB,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,244865.12,8678700.0,2.8214492954013846
ZMB,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,27036.658,8678700.0,0.311528892576077
ZMB,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,58984.848,9885115.0,0.5967037105789867
ZMB,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,283385.1,9885115.0,2.86678607178571
ZMB,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,30647.281,9885115.0,0.3100346429960602
ZMB,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,67960.78,11557548.0,0.5880207462690183
ZMB,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,339197.12,11557548.0,2.9348536558100387
ZMB,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,35019.945,11557548.0,0.30300497129667986
ZMB,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,79625.05,13783189.0,0.5776968595584084
ZMB,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,413537.03,13783189.0,3.0003000756936586
ZMB,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,40624.52,13783189.0,0.29473962810783483
ZMB,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,92481.2,16237621.0,0.5695489505513154
ZMB,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,495092.66,16237621.0,3.049046778465885
ZMB,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,46597.605,16237621.0,0.28697310400335124
ZMB,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,106742.44,18915898.0,0.5643001458350008
ZMB,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,584948.6,18915898.0,3.0923649514286873
ZMB,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,52876.746,18915898.0,0.27953600722524513
ZWE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,23794.504,6096540.5,0.3902951846215079
ZWE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,112201.21,6096540.5,1.840407850977124
ZWE,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,11326.093,6096540.5,0.1857790168046944
ZWE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,28547.904,7049217.0,0.40497978711678195
ZWE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,133703.05,7049217.0,1.8967078187549054
ZWE,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,13727.267,7049217.0,0.19473463506656127
