ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_built_s_km2,ghsl_total_built_s_km2,relative_exposure_pct
BEN,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.542054063,565.6257991,0.095832627
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.94431825,666.7455716,0.291613223
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,18.812072,666.7455716,2.821476857
BEN,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.6454135,666.7455716,0.096800568
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.1845055,733.4933049,0.297822146
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,20.438522,733.4933049,2.786463334
BEN,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.716183375,733.4933049,0.09764007
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.27408132,167.53233,0.163599062
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,2.837181,167.53233,1.69351253
BWA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.1258173,167.53233,0.07510031
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.35053355,190.8534,0.18366639
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,3.6658764,190.8534,1.920781291
BWA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.15591612,190.8534,0.08169418
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.4620495,221.66762,0.208442487
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,4.784573,221.66762,2.158444702
BWA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.19829695,221.66762,0.089456886
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.60672724,256.41983,0.236614789
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.144905,256.41983,2.396423475
BWA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.25301683,256.41983,0.09867288
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.6671423,292.0503,0.22843404
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.927891,292.0503,2.372156783
BWA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.2747183,292.0503,0.094065406
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.75187624,338.4829,0.222131233
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.015305,338.4829,2.368008842
BWA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.30596098,338.4829,0.090391857
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.82212454,369.00577,0.222794495
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.79789,369.00577,2.384214751
BWA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.33169967,369.00577,0.089890104
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.9146248,409.7877,0.223194791
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,9.807739,409.7877,2.393370762
BWA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.36592448,409.7877,0.089296111
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.0264485,453.57883,0.226299914
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,10.953347,453.57883,2.414871743
BWA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.4046318,453.57883,0.089208705
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.1383449,479.51437,0.237395367
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,11.756677,479.51437,2.451788254
BWA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.44342455,479.51437,0.092473673
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.468752094,187.6883769,0.249750199
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.36115,187.6883769,3.389208274
BFA,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.127994867,187.6883769,0.068195415
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.626980875,227.6201529,0.275450511
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.410849,227.6201529,3.695124923
BFA,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.166270641,227.6201529,0.073047416
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.851141813,286.0032569,0.297598644
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,11.443239,286.0032569,4.001086954
BFA,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.2172475,286.0032569,0.075959799
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.12811475,353.9198009,0.318748696
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,15.17317,353.9198009,4.28717748
BFA,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.277167313,353.9198009,0.078313593
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.289134375,409.2383858,0.315008176
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,17.6221,409.2383858,4.306072111
BFA,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.303713875,409.2383858,0.074214415
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.5032195,481.8737493,0.311952976
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,20.79212,481.8737493,4.314848034
BFA,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.337401906,481.8737493,0.070018736
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.801560875,591.0336284,0.304815291
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,24.901348,591.0336284,4.213186324
BFA,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.398029438,591.0336284,0.067344635
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.2112635,752.9357653,0.293685544
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,30.66776,752.9357653,4.073091147
BFA,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.483440781,752.9357653,0.06420744
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.72060675,964.591616,0.282047522
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,37.850664,964.591616,3.924009225
BFA,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.584564875,964.591616,0.060602318
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.36649975,1250.149717,0.269287726
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,46.837928,1250.149717,3.746585498
BFA,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.725700625,1250.149717,0.058049097
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.155818188,66.86198044,0.23304453
BDI,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,1.736189,66.86198044,2.596676001
