Country Code,Year,Indicator,Value
AFW,2005,Limited (more than 30 mins),0.09072815272002051
AFW,2005,Surface water,0.03233306559475492
AFW,2005,Unimproved,0.09190996228932641
AFW,2006,At least basic,0.7909569073551836
AFW,2006,Limited (more than 30 mins),0.08916384038133726
AFW,2006,Surface water,0.03095994029567063
AFW,2006,Unimproved,0.08891931196780856
AFW,2007,At least basic,0.796982176489472
AFW,2007,Limited (more than 30 mins),0.08752963944677049
AFW,2007,Surface water,0.02957880985065446
AFW,2007,Unimproved,0.08590937421310334
AFW,2008,At least basic,0.8030872772856479
AFW,2008,Limited (more than 30 mins),0.08582953883704934
AFW,2008,Surface water,0.028192201265398908
AFW,2008,Unimproved,0.08289098261190397
AFW,2009,At least basic,0.8093341535773437
AFW,2009,Limited (more than 30 mins),0.08403523389758966
AFW,2009,Surface water,0.026796909459417005
AFW,2009,Unimproved,0.07983370306564969
AFW,2010,At least basic,0.8156900553699448
AFW,2010,Limited (more than 30 mins),0.08216554550762005
AFW,2010,Surface water,0.025388135831872067
AFW,2010,Unimproved,0.07675626329056304
AFW,2011,At least basic,0.8222424976481159
AFW,2011,Limited (more than 30 mins),0.08011061296634489
AFW,2011,Surface water,0.023960668111885214
AFW,2011,Unimproved,0.07368622127365401
AFW,2012,At least basic,0.8289021224495707
AFW,2012,Limited (more than 30 mins),0.0779817149868685
AFW,2012,Surface water,0.02252163952124778
AFW,2012,Unimproved,0.07059452304231296
AFW,2013,At least basic,0.8356758405057924
AFW,2013,Limited (more than 30 mins),0.07577535674324262
AFW,2013,Surface water,0.021068785480659016
AFW,2013,Unimproved,0.06748001727030611
AFW,2014,At least basic,0.842528294273904
AFW,2014,Limited (more than 30 mins),0.07346606733375508
AFW,2014,Surface water,0.019631882937953694
AFW,2014,Unimproved,0.06437375545438723
AFW,2015,At least basic,0.8494553946452629
AFW,2015,Limited (more than 30 mins),0.0711032205913865
AFW,2015,Surface water,0.018179794516295384
AFW,2015,Unimproved,0.06126159024705538
AFW,2016,At least basic,0.8563979956592878
AFW,2016,Limited (more than 30 mins),0.06872415725029568
AFW,2016,Surface water,0.01671857004490458
AFW,2016,Unimproved,0.05815927704551191
AFW,2017,At least basic,0.8633923968719208
AFW,2017,Limited (more than 30 mins),0.06629875061268728
AFW,2017,Surface water,0.015259895132934001
AFW,2017,Unimproved,0.05504895738245779
AFW,2018,At least basic,0.8708948007836884
AFW,2018,Limited (more than 30 mins),0.06399733109675032
AFW,2018,Surface water,0.01385665993494789
AFW,2018,Unimproved,0.051251208184613484
AFW,2019,At least basic,0.8779902237028168
AFW,2019,Limited (more than 30 mins),0.06148720902006497
AFW,2019,Surface water,0.012388320088465096
AFW,2019,Unimproved,0.04813424718865316
AFW,2020,At least basic,0.8851130529060534
AFW,2020,Limited (more than 30 mins),0.05895271134623846
AFW,2020,Surface water,0.01092568660196226
AFW,2020,Unimproved,0.04500854914574583
AFW,2021,At least basic,0.8922645498383387
AFW,2021,Limited (more than 30 mins),0.05639190118679794
AFW,2021,Surface water,0.009462677652037826
AFW,2021,Unimproved,0.04188087132282549
AFW,2022,At least basic,0.9001648738437604
AFW,2022,Limited (more than 30 mins),0.052605019849760695
AFW,2022,Surface water,0.008145560925324043
AFW,2022,Unimproved,0.03908454538115511
AFW,2023,At least basic,0.9077586322592397
AFW,2023,Limited (more than 30 mins),0.049520717069436816
AFW,2023,Surface water,0.0066658085158333115
AFW,2023,Unimproved,0.036054842155490215
AFW,2024,At least basic,0.9123086166271942
AFW,2024,Limited (more than 30 mins),0.04946007827711638
AFW,2024,Surface water,0.005009461673934956
AFW,2024,Unimproved,0.03322184342175458
AGO,2000,At least basic,0.5872317961271173
AGO,2000,Limited (more than 30 mins),0.2511170112645166
AGO,2000,Surface water,0.08548437207846518
AGO,2000,Unimproved,0.07616682052990086
AGO,2001,At least basic,0.5872317961271173
AGO,2001,Limited (more than 30 mins),0.2511170112645166
AGO,2001,Surface water,0.08548437207846518
AGO,2001,Unimproved,0.07616682052990086
AGO,2002,At least basic,0.5872317961271173
AGO,2002,Limited (more than 30 mins),0.2511170112645166
AGO,2002,Surface water,0.08548437207846518
AGO,2002,Unimproved,0.07616682052990086
AGO,2003,At least basic,0.5997249735538174
AGO,2003,Limited (more than 30 mins),0.2423207785153944
AGO,2003,Surface water,0.08189331577629445
AGO,2003,Unimproved,0.07606093215449392
AGO,2004,At least basic,0.612305113206227
AGO,2004,Limited (more than 30 mins),0.23343758354056232
AGO,2004,Surface water,0.07830225947412486
AGO,2004,Unimproved,0.07595504377908582
AGO,2005,At least basic,0.6249722150843463
AGO,2005,Limited (more than 30 mins),0.2244674263400206
AGO,2005,Surface water,0.07471120317195414
AGO,2005,Unimproved,0.07584915540367888
AGO,2006,At least basic,0.6377262791881754
AGO,2006,Limited (more than 30 mins),0.21541030691376922
AGO,2006,Surface water,0.07112014686978455
AGO,2006,Unimproved,0.07574326702827079
AGO,2007,At least basic,0.6505673055177134
AGO,2007,Limited (more than 30 mins),0.2062662252618078
AGO,2007,Surface water,0.06752909056761382
AGO,2007,Unimproved,0.07563737865286498
AGO,2008,At least basic,0.663495294072962
AGO,2008,Limited (more than 30 mins),0.1970351813841368
AGO,2008,Surface water,0.06393803426544309
AGO,2008,Unimproved,0.07553149027745804
AGO,2009,At least basic,0.6765102448539202
AGO,2009,Limited (more than 30 mins),0.1877171752807564
AGO,2009,Surface water,0.060346977963273506
AGO,2009,Unimproved,0.07542560190204994
AGO,2010,At least basic,0.6896121578605882
AGO,2010,Limited (more than 30 mins),0.1783122069516661
AGO,2010,Surface water,0.056755921661102784
AGO,2010,Unimproved,0.075319713526643
AGO,2011,At least basic,0.7028010330929658
AGO,2011,Limited (more than 30 mins),0.1688202763968661
AGO,2011,Surface water,0.05316486535893319
AGO,2011,Unimproved,0.07521382515123491
AGO,2012,At least basic,0.7160768705510573
AGO,2012,Limited (more than 30 mins),0.1592413836163523
AGO,2012,Surface water,0.04957380905676246
AGO,2012,Unimproved,0.07510793677582797
AGO,2013,At least basic,0.7294396702348545
AGO,2013,Limited (more than 30 mins),0.1495755286101328
AGO,2013,Surface water,0.04598275275459173
AGO,2013,Unimproved,0.07500204840042102
AGO,2014,At least basic,0.7428894321443612
AGO,2014,Limited (more than 30 mins),0.1398227113782038
AGO,2014,Surface water,0.04239169645242214
AGO,2014,Unimproved,0.07489616002501293
AGO,2015,At least basic,0.7564261562795778
AGO,2015,Limited (more than 30 mins),0.1299829319205648
AGO,2015,Surface water,0.03880064015025141
AGO,2015,Unimproved,0.07479027164960599
AGO,2016,At least basic,0.770049842640504
AGO,2016,Limited (more than 30 mins),0.1200561902372162
AGO,2016,Surface water,0.03520958384808182
AGO,2016,Unimproved,0.0746843832741979
AGO,2017,At least basic,0.7837604912271401
AGO,2017,Limited (more than 30 mins),0.1100424863281579
AGO,2017,Surface water,0.03161852754591109
AGO,2017,Unimproved,0.07457849489879095
AGO,2018,At least basic,0.7975581020394859
AGO,2018,Limited (more than 30 mins),0.09994182019338979
AGO,2018,Surface water,0.02802747124374037
AGO,2018,Unimproved,0.074472606523384
AGO,2019,At least basic,0.8008433704917195
AGO,2019,Limited (more than 30 mins),0.1003534964187338
AGO,2019,Surface water,0.02443641494157077
AGO,2019,Unimproved,0.07436671814797592
AGO,2020,At least basic,0.8041286389439531
AGO,2020,Limited (more than 30 mins),0.1007651726440778
AGO,2020,Surface water,0.02084535863940005
AGO,2020,Unimproved,0.07426082977256897
AGO,2021,At least basic,0.8074139073961868
AGO,2021,Limited (more than 30 mins),0.1011768488694219
AGO,2021,Surface water,0.01725430233722932
AGO,2021,Unimproved,0.07415494139716201
AGO,2022,At least basic,0.8106991758484204
AGO,2022,Limited (more than 30 mins),0.1015885250947659
AGO,2022,Surface water,0.01366324603505973
AGO,2022,Unimproved,0.07404905302175392
AGO,2023,At least basic,0.8139844443006531
AGO,2023,Limited (more than 30 mins),0.1020002013201098
AGO,2023,Surface water,0.010072189732889002
AGO,2023,Unimproved,0.07394316464634812
AGO,2024,At least basic,0.8172697127528867
AGO,2024,Limited (more than 30 mins),0.1024118775454538
AGO,2024,Surface water,0.00648113343071941
AGO,2024,Unimproved,0.07383727627094004
BDI,2000,At least basic,0.8238466519452406
BDI,2000,Limited (more than 30 mins),0.06485611809645618
BDI,2000,Surface water,0.07602791926572422
BDI,2000,Unimproved,0.03526931069257898
BDI,2001,At least basic,0.827845251128035
BDI,2001,Limited (more than 30 mins),0.06559808428608249
BDI,2001,Surface water,0.07173633865620217
