Agglomeration_ID,Agglomeration_Name,ISO3,Longitude,Latitude
5199.0,Lagos,NGA,3.251159454376742,6.614950946387391
7098.0,Onitsha,NGA,7.059290541747996,5.8051414183135135
4519.0,Kano,NGA,8.527704003811497,11.985955422869539
3853.0,Ibadan,NGA,3.9114957251175415,7.4033443048208145
133.0,Abuja,NGA,7.449557600602076,9.045413428995541
7357.0,Port Harcourt,NGA,7.04387188516146,4.858527072988054
8806.0,Uyo,NGA,7.815335353821364,5.018379902548671
5538.0,Maiduguri,NGA,13.13718730178594,11.836140117739678
4291.0,Kaduna,NGA,7.441972968791351,10.50272830150206
9.0,Aba,NGA,7.368470644015562,5.188795039941433
1822.0,Benin City,NGA,5.638815226469858,6.324901586805281
4030.0,Ilorin,NGA,4.558610689698013,8.476744733214785
3988.0,Ikorodu,NGA,3.514824625210572,6.695989763202905
6869.0,Nsukka,NGA,7.441647294600725,6.903961432077545
3119.0,Enugu,NGA,7.529803222147365,6.419505103621133
7132.0,Osogbo,NGA,4.51692631994943,7.781099591075994
4226.0,Jos,NGA,8.881667427956234,9.870765770694813
4655.0,Katsina,NGA,7.61342813627797,12.983241903217658
29.0,Abeokuta,NGA,3.3419929283320484,7.1520098008761
8957.0,Warri,NGA,5.7967976598967015,5.5466717276462525
9129.0,Zaria,NGA,7.693791643664123,11.10397007874933
1727.0,Bauchi,NGA,9.826672344956574,10.307805483217779
8156.0,Sokoto,NGA,5.228387812653421,13.030340802842373
427.0,Akure,NGA,5.195273505209868,7.258437466075351
17.0,Abakaliki,NGA,8.073933444201398,6.3739018742472275
3565.0,Gombe,NGA,11.161225770150441,10.283274921114183
201.0,Ado Ekiti,NGA,5.231668176086137,7.62569441484139
6015.0,Minna,NGA,6.536541894545368,9.611341066516331
4178.0,Jalingo,NGA,11.360727642098551,8.91670197653472
4211.0,Jimeta,NGA,12.432829004508449,9.245541468898757
5585.0,Makurdi,NGA,8.55031720921702,7.713096577657474
7247.0,Oyo,NGA,3.9259343557602118,7.8375207454836975
2996.0,Eket,NGA,7.968860135936637,4.6733997236225795
9076.0,Yenagoa,NGA,6.332783431954161,4.939509751254104
2322.0,Calabar,NGA,8.343325151757735,5.006697837163165
3903.0,Ife 1,NGA,4.532899727451706,7.489948117804645
5194.0,Lafia,NGA,8.525677745382518,8.515904777141573
7371.0,Potiskum,NGA,11.082608201766885,11.710141615540003
7032.0,Okenne,NGA,6.213685162330605,7.575550465990088
3965.0,Ijebu Ode,NGA,3.9408539049986038,6.81812883872157
6985.0,Ogbomosho,NGA,4.245078135158084,8.14092458672982
5658.0,Monguno,NGA,13.613847352606527,12.676120392850448
1305.0,Asaba,NGA,6.6732839691194865,6.208167078592049
3445.0,Gboko,NGA,9.001464706126542,7.334155312269605
1874.0,Bida,NGA,6.005722988529915,9.080129327507025
3982.0,Ikirun,NGA,4.68401711253332,7.913558499671986
4019.0,Ilesha,NGA,4.748157700521267,7.629737258033517
3675.0,Gusau,NGA,6.681432611571995,12.17622759005211
3932.0,Igbidu,NGA,8.075352860634776,6.067991950745025
5309.0,Lokoja,NGA,6.707653403249473,7.7977551251925075
7901.0,Shagamu,NGA,3.647917912408113,6.8535781790249874
7093.0,Ondo,NGA,4.837706750901677,7.099398869289631
3293.0,Funtua,NGA,7.316816403098451,11.52249971523907
6974.0,Offa,NGA,4.718714188371328,8.14792987194388
6325.0,Mubi,NGA,13.266892036576383,10.268219403399558
8711.0,Ughelli,NGA,6.013101708767414,5.49758550504582
8786.0,Uromi,NGA,6.246138462252648,6.725790797868073
7683.0,Saki,NGA,3.4095892653670408,8.68518944839579
3700.0,Hadejia,NGA,10.036383220969913,12.457335720447038
4145.0,Iwo,NGA,4.184849915081893,7.635937855869969
249.0,Agbor,NGA,6.184426113512062,6.253131063646453
3981.0,Ikire,NGA,4.185829130953229,7.361561379727249
7782.0,Sapele,NGA,5.6929149730777615,5.87174844783953
1937.0,Birnin Kebbi,NGA,4.214187285206735,12.451373917851752
1426.0,Azare,NGA,10.18990607595651,11.671866599685664
2572.0,Damboa,NGA,12.760974723965473,11.15350220557276
1545.0,Bama,NGA,13.692035897405521,11.525422028012988
4692.0,Keffi,NGA,7.8809651870191475,8.847363806825141
9114.0,Zaki Biam,NGA,9.621530279835191,7.51559356363388
2566.0,Damaturu,NGA,11.964814258340104,11.737927808086651
7122.0,Oron,NGA,8.228818568262541,4.790716086183436
7113.0,Ore,NGA,4.884434320712706,6.753799624247549
3405.0,Gashua,NGA,11.034266128750321,12.880143249114786
3993.0,Ikot Ankan,NGA,7.606919168925332,5.129276896990949
1961.0,Biu,NGA,12.188791488155204,10.611565883290835
2743.0,Dikwa,NGA,13.914387422262857,12.039384039779014
4204.0,Jibiya,NGA,7.239641391184521,13.100230600614983
4107.0,Iseyin,NGA,3.591461246907386,7.973213287495066
1454.0,Badagry,NGA,2.938245116726759,6.429773525108852
3683.0,Gwagwalada,NGA,7.080443323567334,8.935355399368452
3878.0,Idah,NGA,6.781094038508294,7.1394463600579785
3126.0,Epe,NGA,3.9806193073142913,6.620408884553733
7052.0,Okposi,NGA,7.813008454618874,6.072370150949837
1377.0,Auchi,NGA,6.279671173639962,7.066021742332462
1281.0,Argungu,NGA,4.53835045578196,12.741504967090183
4989.0,Kontagora,NGA,5.466729710449922,10.400714931126274
7240.0,Owo,NGA,5.585480280238686,7.20314356363681
9020.0,Wukari,NGA,9.784086914123002,7.8728537578049345
6726.0,Nguru,NGA,10.443276311498868,12.875653881040558
9065.0,Yeghe,NGA,7.371149327679042,4.68016975413834
7153.0,Oturkpo,NGA,8.134224984033606,7.200187333107395
3974.0,Ikare,NGA,5.763947254390582,7.5333842155402335
