ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
AGO,AGO_1095,Alto Dondo,3.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,14.0,0.0008067304367869,0.0005831110839843,0.0007870551845777,3667.111083984375,0.000775110447036
AGO,AGO_1095,Alto Dondo,3.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,100.0,0.0057623602627636,0.0038699995117187,0.0052235384709185,22172.88671875,0.0046866418123274
AGO,AGO_1096,Alto Hama,4.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_1096,Alto Hama,4.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_1208,Cambulo,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_1208,Cambulo,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,509.0,0.0095275531596286,0.0108557783203125,0.006834200103568,61834.3359375,0.0055553950700067
AGO,AGO_1209,Andulo,11.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,0.0,0.0,0.0,0.0,0.0,0.0
AGO,AGO_1209,Andulo,11.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,41.0,0.0011670272116588,0.0027152224121093,0.0008487589791061,14922.666015625,0.0006888020979981
AGO,AGO_1497,Baia Farta,6.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,44.0,0.0010494180499904,0.0007085556030273,0.0006430389378096,1830.3333740234373,0.0003333458465248
AGO,AGO_1497,Baia Farta,6.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,7994.0,0.1906601793550849,0.204554671875,0.1856405035321258,784156.1875,0.1428128950931322
AGO,AGO_1501,Bailundo,17.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,2.0,5.010271055664112e-05,0.0001217777786254,3.714809745238602e-05,318.22222900390625,1.880001144959505e-05
AGO,AGO_1501,Bailundo,17.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,20.0,0.0005010271055664,0.0013277777099609,0.0004050362580222,6697.22265625,0.0003956601743759
AGO,AGO_1541,Balombo,5.0,2015,2015,10,FLUVIAL_PLUVIAL_DEFENDED,32.0,0.0011495904583991,0.0013046666259765,0.0009548840167023,6158.88916015625,0.0007204928826394
AGO,AGO_1541,Balombo,5.0,2015,2015,100,FLUVIAL_PLUVIAL_DEFENDED,301.0,0.0108133352493174,0.01465722265625,0.0107276045581563,65917.0,0.0077112492382864
