Agglomeration_ID,Agglomeration_Name,ISO3,africapolis_pop_2015,africapolis_pop_2020
1222.0,Ankpa,NGA,116073.0,111603.0
4006.0,Ila,NGA,65065.0,110911.0
8693.0,Mayo Bani/Uba,NGA,77466.0,110748.0
2977.0,Egume,NGA,121875.0,110164.0
3963.0,Ijebu Igbo,NGA,115115.0,109888.0
4010.0,Ilaro,NGA,92160.0,108866.0
3324.0,Gajram,NGA,14187.0,107869.0
3696.0,Gwoza,NGA,69612.0,106311.0
3567.0,Gombi,NGA,84300.0,105904.0
6807.0,Ekparakwa,NGA,14896.0,105173.0
8710.0,Ugep,NGA,69955.0,104352.0
4077.0,Ipetumodu,NGA,83742.0,102410.0
7035.0,Okitipupa,NGA,78610.0,101960.0
7087.0,Omu Aran,NGA,80810.0,100665.0
7461.0,Rahama,NGA,85080.0,99888.0
5076.0,Kuje,NGA,102006.0,99086.0
3621.0,Gubio,NGA,25213.0,98339.0
4296.0,Kafanchan,NGA,113366.0,98277.0
4193.0,Jega,NGA,73280.0,98216.0
8303.0,Takum,NGA,82671.0,96964.0
6558.0,Nasarawa 1,NGA,88968.0,96494.0
8314.0,Talata Mafara,NGA,48960.0,96309.0
294.0,Ahoada,NGA,43940.0,96237.0
2838.0,Doma,NGA,98963.0,94468.0
429.0,Akwanga,NGA,123383.0,94034.0
225.0,Afikpo,NGA,82500.0,92610.0
9072.0,Yelwa 1,NGA,76300.0,91106.0
2986.0,Ejigbo,NGA,152387.0,90631.0
3902.0,Ifangni/Idi Iroko [NGA],NGA,33292.0,89198.0
7281.0,Pankshin,NGA,58921.0,89108.0
3417.0,Gaya,NGA,36550.0,88872.0
7124.0,Ago Iwoye & Oru,NGA,119980.0,88602.0
4977.0,Konduga,NGA,26006.0,87384.0
3663.0,Gumel 1,NGA,63258.0,86467.0
3101.0,Emure Ekiti,NGA,98117.0,85134.0
3459.0,Geidam,NGA,75840.0,83211.0
426.0,Akungba,NGA,111750.0,83183.0
5127.0,Sarkin Kura,NGA,29040.0,82926.0
7012.0,Ogharefe,NGA,114840.0,82535.0
5215.0,Langtang,NGA,137340.0,81855.0
3986.0,Ikom,NGA,67565.0,81429.0
6204.0,Mokwa,NGA,33653.0,81384.0
5152.0,Kwale,NGA,97554.0,81169.0
5621.0,Malumfashi,NGA,61819.0,80844.0
4430.0,Obudu,NGA,134334.0,79513.0
2564.0,Damasak,NGA,27197.0,79323.0
395.0,Akahufu,NGA,31100.0,79098.0
3365.0,Ganye,NGA,99187.0,78893.0
264.0,Agosasa,NGA,82000.0,78714.0
4656.0,Katsina Ala,NGA,112280.0,78542.0
60.0,Abraka,NGA,101811.0,78190.0
4922.0,Pulka,NGA,20379.0,78122.0
7149.0,Otukpa,NGA,107903.0,77790.0
7063.0,Okwuzi,NGA,34843.0,76000.0
4105.0,Isara,NGA,114189.0,75590.0
8892.0,Vom Wang,NGA,27000.0,75022.0
4660.0,Kaura Namoda,NGA,60320.0,75011.0
6889.0,Numan,NGA,101955.0,74446.0
3934.0,Igbo Ora,NGA,86044.0,74168.0
9019.0,Wudil,NGA,62730.0,74119.0
8813.0,Vande Ikya,NGA,72015.0,73589.0
6211.0,Molume,NGA,23920.0,73342.0
3665.0,Gummi,NGA,46772.0,72940.0
4898.0,Kishi,NGA,87497.0,72575.0
4250.0,Kabba,NGA,92492.0,72209.0
1938.0,Birnin Kudu,NGA,51298.0,71122.0
7886.0,Baga ,NGA,39847.0,70046.0
3939.0,Igboho,NGA,66755.0,69973.0
6706.0,Ngodo,NGA,36080.0,69864.0
4677.0,Kazaure,NGA,57859.0,69704.0
4625.0,Katabu,NGA,33881.0,69674.0
6941.0,Obiaruku,NGA,80323.0,69446.0
8657.0,Tudun Wada,NGA,25353.0,69325.0
1461.0,Lekki,NGA,46633.0,69012.0
7034.0,Okigwi,NGA,49673.0,68991.0
7519.0,Ringim,NGA,27274.0,68459.0
6512.0,Naka,NGA,71250.0,68263.0
