ISO3,agglosName,agglosID,POP_2000,POP_2020,BU_2000,BU_2020,POP_CAGR_2000_2020,BU_CAGR_2000_2020
AGO,Alto hama,1096,27710.53125,19521.63888888889,0.6706442222222222,0.7427373333333334,-1.7361963239649114,0.5118237874039311
AGO,Ambaca,2326,59201.22916666666,32659.684027777777,0.6130751111111111,1.3003778888888888,-2.930216108853778,3.831181174897713
AGO,Andulo,1209,184646.61111111112,78280.40972222222,2.823001111111111,3.613871555555556,-4.199982714277972,1.2425518577351857
AGO,Babaera,10842,5435.379774305556,12796.545138888889,0.159073,0.6659374444444445,4.374195720666441,7.421657249496172
AGO,Baia farta,1497,36084.145833333336,44715.09722222222,0.9873083333333336,1.5794933333333332,1.078057585226655,2.377200526545309
AGO,Bailundo,1501,131634.02777777778,85201.03472222222,2.4307297777777777,3.8363502222222223,-2.1515760274090523,2.307878323699075
AGO,Balombo,1541,47531.125,50881.49305555556,0.8119406666666666,1.4241051111111112,0.34115312533984365,2.8491928061733285
AGO,Benguela,1809,475886.27777777775,601077.5,11.96959022222222,19.764181333333333,1.1745693446533645,2.5392124100581004
AGO,Bibala,1867,6891.797743055556,23840.756944444445,0.3935548888888889,0.6536765555555556,6.401898207402756,2.5694153120396024
AGO,Bocoio,1980,64781.61111111111,46932.038194444445,1.0738893333333333,1.325259777777778,-1.5986892341530279,1.057156576527296
AGO,Bucau zau,2173,2149.956380208333,27516.993055555555,0.3266871111111111,0.5114230000000001,13.594830087856224,2.2662692265245976
AGO,Caala,2311,134101.61111111112,108238.90972222222,3.7734706666666655,4.957116444444444,-1.0655666513695206,1.3734920657906935
AGO,Cabinda,2312,154439.36111111112,972536.6666666666,10.48248,21.456446222222223,9.637064618999913,3.6465110619364527
AGO,Cacolo,2314,17755.461805555555,27126.01388888889,0.1501886666666666,0.8415366666666667,2.1416102956629546,8.998819423638826
AGO,Caconda,2315,29067.631944444445,70906.78472222222,1.842568222222222,2.09656,4.559598520993546,0.6477767315278937
AGO,Cacongo,5212,3236.7838541666665,47656.381944444445,0.5239217777777778,0.7418852222222223,14.393241999858697,1.7544739611507154
AGO,Cacuaco (ext. leste),10022,1791.9754774305557,31535.96875,0.4946898888888889,1.757870888888889,15.418042860398739,6.544907581623582
AGO,Cacuso,2316,30418.229166666668,34347.04513888889,1.1742794444444444,1.4336863333333332,0.609217831498321,1.0029676508401808
AGO,Cahama,2318,11682.802951388889,33736.711805555555,0.4460366666666667,0.6132497777777778,5.445435534468435,1.604593321701997
AGO,Caimbambo,2319,37319.82291666666,33507.82638888889,0.7443673333333334,1.072296666666667,-0.5372794425901772,1.8418740709604142
AGO,Calai,12128,10429.8359375,7950.276041666667,0.1057963333333333,0.3254668888888889,-1.3481493991447269,5.779573059014331
AGO,Calandula,10589,17736.371527777777,17946.57986111111,0.3508972222222222,0.5600732222222222,0.058928055937124135,2.365413229990976
AGO,Calenga,2324,20915.383680555555,14199.980034722224,0.6787040000000001,0.7143517777777778,-1.9175975739320172,0.25627998545589836
AGO,Calulo,2325,41871.65972222222,70511.90277777778,0.9059931111111112,1.469140777777778,2.640110973262444,2.4464528717937473
AGO,Caluquembe,4465,17751.65451388889,83364.38888888889,0.639983,2.3336344444444443,8.040624711146949,6.6825086024782765
AGO,Camacupa,2327,115446.72222222222,76382.09027777778,2.3960566666666665,2.8171955555555552,-2.044123136576481,0.8128739033096855
AGO,Camanongue,2328,5315.076388888889,38639.25,0.4423564444444444,0.8089023333333334,10.427174208579771,3.0638084149970046
AGO,Cambulo,1208,47616.24305555556,87392.15972222222,1.7449255555555556,2.140916888888889,3.082719458053984,1.0278580241661617
AGO,Cameia,5385,5539.103732638889,40393.24305555556,0.4592224444444445,0.8676031111111111,10.444339227797638,3.2321327226274343
AGO,Cangandala,2331,13331.465277777776,23587.95138888889,0.2355965555555556,0.5253454444444444,2.8941341406918397,4.091148811530787
AGO,Cassongue,12126,24114.225694444445,30928.493055555555,0.709428111111111,0.9838997777777778,1.2521542193511204,1.6487689757997748
AGO,Catabola,10128,48416.60416666666,35624.336805555555,1.141987888888889,1.989616,-1.5223620711782515,2.8147415932409547
AGO,Catete,10247,1806.0068359375,9809.407986111111,0.4516807777777778,0.75507,8.829383856586336,2.6024616022724656
AGO,Caungula,12391,5083.197916666667,16694.289930555555,0.0915244444444444,0.3445763333333333,6.12593917365456,6.853171560925242
AGO,Caxito,2345,104512.11805555556,66834.01388888889,0.7236173333333333,1.5963946666666666,-2.2106532973829585,4.035501578979495
AGO,Cazombo,2346,14769.388888888889,141005.38888888888,1.0362935555555557,3.236439111111112,11.942153962860292,5.859352235740967
AGO,Cela,2348,84002.375,123952.90277777778,2.614411555555556,4.2420773333333335,1.9643269402843222,2.44959156747675
AGO,Chibia,2413,18963.366319444445,54349.444444444445,0.799135,1.152191888888889,5.405672568562725,1.846294617794464
AGO,Chicomba,10676,2634.6143663194443,26368.30208333333,0.0705126666666666,0.7949494444444444,12.206561913500247,12.87652180820471
AGO,Chinguar,10155,38549.80902777778,24159.03125,0.8134397777777778,1.2674855555555555,-2.3093803730970697,2.242363566621308
AGO,Chipeta,11581,14462.418402777776,6734.774305555556,0.3800215555555555,0.4213678888888889,-3.749253556676657,0.517727205367069
AGO,Chipindo,2436,8847.255208333334,25845.277777777777,0.4452262222222222,0.9757128888888889,5.506358164385317,4.000892278656032
AGO,Chitembo,10153,40462.49305555556,31802.746527777777,0.6792874444444444,1.3803017777777775,-1.196893521507203,3.608651914891259
