unique_id,ISO3,Agglomeration_Name,africapolis_pop_rp10_2015,africapolis_pop_rp100_2015,africapolis_pop_rp10_2020,africapolis_pop_rp100_2020,africapolis_pop_rp10_2025,africapolis_pop_rp100_2025,worldpop_built_surface_ftm_km2_rp10_2015,worldpop_built_surface_ftm_km2_rp100_2015,worldpop_built_surface_ftm_km2_rp10_2020,worldpop_built_surface_ftm_km2_rp100_2020,worldpop_built_surface_ftm_km2_rp10_2025,worldpop_built_surface_ftm_km2_rp100_2025,worldpop_built_surface_ftm_share_rp10_2015,worldpop_built_surface_ftm_share_rp100_2015,worldpop_built_surface_ftm_share_rp10_2020,worldpop_built_surface_ftm_share_rp100_2020,worldpop_built_surface_ftm_share_rp10_2025,worldpop_built_surface_ftm_share_rp100_2025,worldpop_built_surface_km2_rp10_2015,worldpop_built_surface_km2_rp100_2015,worldpop_built_surface_km2_rp10_2020,worldpop_built_surface_km2_rp100_2020,worldpop_built_surface_km2_rp10_2025,worldpop_built_surface_km2_rp100_2025,worldpop_population_ftm_share_rp10_2015,worldpop_population_ftm_share_rp100_2015,worldpop_population_ftm_share_rp10_2020,worldpop_population_ftm_share_rp100_2020,worldpop_population_ftm_share_rp10_2025,worldpop_population_ftm_share_rp100_2025,worldpop_population_ftm_total_rp10_2015,worldpop_population_ftm_total_rp100_2015,worldpop_population_ftm_total_rp10_2020,worldpop_population_ftm_total_rp100_2020,worldpop_population_ftm_total_rp10_2025,worldpop_population_ftm_total_rp100_2025,worldpop_population_total_rp10_2015,worldpop_population_total_rp100_2015,worldpop_population_total_rp10_2020,worldpop_population_total_rp100_2020,worldpop_population_total_rp10_2025,worldpop_population_total_rp100_2025,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2020_2025,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2020_2025,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2020_2025,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2020_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025
AGO_1095,AGO,Alto Dondo,27309.0,27309.0,31500.0,31500.0,37001.0,37001.0,0.0006155555419921,0.0039024443359375,0.0006275556030273,0.0040293334960937,0.0006275556030273,0.0040293334960937,0.0008017050382285,0.0050825783736787,0.0007692442376482,0.0049390708305063,0.0007673235960473,0.0049267390060448,0.767808,0.767808,0.815808,0.815808,0.81785,0.81785,0.0008052826542116,0.0054222365383582,0.0007976955461998,0.0054066031464657,0.0007906924206483,0.0054218908844459,21.991464003864582,148.07585762602406,25.1274097052937,170.30799911366955,29.256410256407747,200.61538461538274,27309.0,27309.0,31500.0,31500.0,37001.0,37001.0,0.027019561963467664,0.030895546043826272,0.003868884307581144,0.0,0.02837179780349075,0.03329859204875407,0.006420094438589041,0.0,27309,31500,37001
AGO_1096,AGO,Alto Hama,18450.0,18450.0,22000.0,22000.0,25842.0,25842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718672,0.718672,0.732871,0.732871,0.735656,0.735656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18450.0,18450.0,22000.0,22000.0,25842.0,25842.0,,,,,,,,,18450,22000,25842
AGO_1208,AGO,Cambulo,85489.0,85489.0,99000.0,99000.0,116290.0,116290.0,8.55555534362793e-06,0.0110523330078125,4.3666667938232425e-05,0.0116788896484375,4.3666667938232425e-05,0.011699111328125,4.679631683359057e-06,0.0060452940389095,2.079142374661402e-05,0.0055607802251842,2.0730492498678988e-05,0.0055540839519051,1.828254,1.828254,2.100225,2.100225,2.106398,2.106398,3.139668137077911e-05,0.0083358189039418,2.6293301781371198e-05,0.008150923552225,3.394625176803395e-05,0.0079660537482319,2.684070893706535,712.6208222790806,2.6030368763557488,806.9414316702749,3.947609618104668,926.3723903818877,85489.0,85489.0,99000.0,99000.0,116290.0,116290.0,-0.006112410631112897,0.0868529176077879,0.3854165447878488,0.0,0.025171918070254096,0.02798959213304575,0.011089309767335909,0.00034605496777162514,85489,99000,116290
AGO_1209,AGO,Andulo,14520.0,14520.0,88000.0,88000.0,103369.0,103369.0,0.0,0.0027152221679687,0.0,0.0033762221679687,0.0,0.0033762221679687,0.0,0.0008233694579393,0.0,0.0009509386712995,0.0,0.0009478980054654,3.297696,3.297696,3.55041,3.55041,3.561799,3.561799,0.0,0.001127240734631,0.0,0.0011448196908986,0.0,0.0011463356787097,0.0,16.36753546684212,0.0,100.74413279907681,0.0,118.49557277254299,14520.0,14520.0,88000.0,88000.0,103369.0,103369.0,,,,,0.43829276033815234,0.0329908445066871,0.04454012893229886,0.0,14520,88000,103369
AGO_1497,AGO,Baia Farta,62241.0,62241.0,49000.0,49000.0,57558.0,57558.0,0.0010146666870117,0.218743890625,0.0016546665039062,0.311356125,0.0017173332519531,0.31402303125,0.0008800880264474,0.1897311515809925,0.0010404371495873,0.1957775046734789,0.0010716641655328,0.1959591880957908,1.152915,1.152915,1.590357,1.590357,1.602492,1.602492,0.0013637163469998,0.1938016892486362,0.0013304506901712,0.1944675425467043,0.0013387307557453,0.195709686673254,84.87906915361455,12062.410940524365,65.19208381838881,9528.90958478851,77.05466483918798,11264.658145539153,62241.0,62241.0,49000.0,49000.0,57558.0,57558.0,-0.0514093251101424,0.03400065654529061,0.10275088416609446,0.007462339999868339,-0.04605833606133358,0.03403434064011068,0.07315955387102346,0.0017072512225748682,62241,49000,57558
AGO_1501,AGO,Bailundo,72243.0,72243.0,86000.0,86000.0,101020.0,101020.0,0.0001217777786254,0.0013544443359375,0.000147333328247,0.0014481110839843,0.000147333328247,0.001463222290039,3.648313279691793e-05,0.0004057749544439,3.878185868304445e-05,0.0003811794662118,3.8564370982038335e-05,0.0003829971663141,3.33792,3.33792,3.799027,3.799027,3.820452,3.820452,4.859440678377919e-05,0.0005102412712296,4.066528404700907e-05,0.0005083160505876,3.4770514603616136e-05,0.0005041724617524,3.51060572928056,36.86136015744,3.49721442804278,43.71518035053359,3.512517385257302,50.93150208622745,72243.0,72243.0,86000.0,86000.0,101020.0,101020.0,-0.0007640721718752408,0.0008736234413604382,0.03883504091942358,0.0,0.0346946025806012,0.031028907627932867,0.013463572603553464,0.0020783658663425797,72243,86000,101020
AGO_1541,AGO,Balombo,37270.0,37270.0,42000.0,42000.0,49335.0,49335.0,0.0013046666259765,0.0149060009765625,0.0013058887939453,0.015178111328125,0.0014116666259765,0.015590333984375,0.0009445023705296,0.0107910733494404,0.0009254396346861,0.0107562189581929,0.0009978198467267,0.0110198430567463,1.381327,1.381327,1.411101,1.411101,1.414751,1.414751,0.001126800239445,0.0108806648121412,0.0011357348787093,0.0110078919013366,0.0011224744325268,0.0110251933150411,41.99584492411515,405.5223775485025,47.7008649057906,462.3314598561372,55.37727612870968,543.9279121975527,37270.0,37270.0,42000.0,42000.0,49335.0,49335.0,0.025803050128594185,0.03029375468111417,0.00018728313383786777,0.01569938726591591,0.02656800478226562,0.03304105091922671,0.003624645961708639,0.005373739024769897,37270,42000,49335
AGO_1809,AGO,Benguela,569002.0,569002.0,649000.0,649000.0,775227.0,775227.0,0.083269,2.812598,0.1126029921875,3.35570325,0.1130906484375,3.368899,0.0059700642884776,0.2016523661583985,0.0057214281294668,0.1705053710892842,0.0057076443354743,0.1700271203658524,13.947756,13.947756,19.680924,19.680924,19.813892,19.813892,0.0062430108501828,0.1952315108652945,0.0062179224711718,0.1931221969357925,0.006218310272005,0.1907934651162473,3552.2856597757136,111087.1201453743,4035.4316837904985,125336.30581132932,4820.60201723562,147908.24558167305,569002.0,569002.0,649000.0,649000.0,775227.0,775227.0,0.02583242745265313,0.036196821416203395,0.062217168025749725,0.000864654944993104,0.02443082151754905,0.03367282546756023,0.035941370362546854,0.0007852328892650196,569002,649000,775227
AGO_1867,AGO,Bibala,11061.0,11061.0,18000.0,18000.0,21143.0,21143.0,0.0025355556640625,0.0310925546875,0.0026861110839843,0.03400966796875,0.002698111328125,0.034071890625,0.0042755798406536,0.0524298093315369,0.004149164615831,0.0525338329354511,0.0041470996525141,0.0523697907860719,0.593032,0.593032,0.647386,0.647386,0.650602,0.650602,0.0042042977265649,0.0518530052943008,0.0042851577717179,0.0518114530580444,0.0042095934418965,0.0516229090506259,46.50373715353436,573.5460915602612,77.1328398909222,932.6061550447993,89.0034341420177,1091.4631660573834,11061.0,11061.0,18000.0,18000.0,21143.0,21143.0,0.1064971337269014,0.02904291879500276,0.01160312887230841,0.000891910762909065,0.10211265844478512,0.03195833068883669,0.018097092138267934,0.0003656440883166301,11061,18000,21143
AGO_1980,AGO,Bocoio,36431.0,36431.0,41000.0,41000.0,48160.0,48160.0,0.0031588889160156,0.0154716669921875,0.0032255554199218,0.015655888671875,0.0032255554199218,0.015748888671875,0.002473904376604,0.0121167365181077,0.0024913092761323,0.0120920758122586,0.0024826440493163,0.0121215975714108,1.276884,1.276884,1.294723,1.294723,1.299242,1.299242,0.003587658454915,0.0173403491987562,0.003562945368171,0.0171219319081551,0.003542404667639,0.0170868931027297,130.70198517100835,631.7262616598871,146.080760095011,701.9992082343591,170.60220879349424,822.9047718274622,36431.0,36431.0,41000.0,41000.0,48160.0,48160.0,0.02249729368385589,0.031521598685503305,0.004185696004762818,0.0,0.021319298281168075,0.03229207130325373,0.0023701451543167718,0.001185238458542237,36431,41000,48160
