ISO3,year,population,built_up_km2,population_density
CPV,2010,185384.88628472222,10.477968333333333,17692.82750120186
CPV,2015,191483.6627604167,10.793357555555556,17740.8801454795
CPV,2020,196799.3359375,11.009626555555554,17875.205389068655
ERI,1975,828362.0542399088,8.54173433333333,96978.20394709565
ERI,1980,939213.7725558812,10.061741555555553,93345.05039411371
ERI,1985,1071716.3760579426,12.195402777777776,87878.71918513451
ERI,1990,1223613.262898763,14.673523,83389.19446262244
ERI,1995,1320746.1698676215,16.933201444444443,77997.42855483129
ERI,2000,1523093.0710720485,20.00555611111111,76133.50324343749
ERI,2005,1739893.5534939235,22.109766333333333,78693.4392368864
ERI,2010,1836893.7727864583,24.966744666666663,73573.61952112694
ERI,2015,1808154.1050347222,28.203282444444444,64111.477399712996
ERI,2020,1607641.1881510417,30.772532666666667,52242.73236022806
ETH,1975,13883671.276565764,151.9898091111111,91346.0669354233
ETH,1980,15613264.414664375,182.75879844444444,85430.9863467971
ETH,1985,18525394.940629747,226.3976772222222,81826.78889609817
ETH,1990,22337843.84435696,276.53835166666664,80776.65795622632
ETH,1995,27771612.865411546,320.34608488888887,86692.53090776512
ETH,2000,33117533.308189392,373.6102301111111,88641.93386337491
ETH,2005,37527484.55514187,436.4523361111111,85983.00765100775
ETH,2010,41248734.49468316,527.0533613333333,78262.9189392372
ETH,2015,43569727.42518563,645.140392111111,67535.26512672874
ETH,2020,42113388.125298396,804.889091888889,52321.976468171524
GAB,1975,417372.361328125,58.59726988888889,7122.727084718095
GAB,1980,495538.16796875,63.21150755555555,7839.366392792162
GAB,1985,573832.8654513889,68.96701477777778,8320.395877657831
GAB,1990,667733.0729166666,75.52411977777778,8841.322148227677
GAB,1995,773942.7296006944,75.77037222222222,10214.318696110477
GAB,2000,879130.6176215279,76.13474055555555,11547.036362198225
GAB,2005,1009271.7625868056,81.24576244444445,12422.454196019662
GAB,2010,1184362.2838541665,87.72064633333333,13501.52254183877
GAB,2015,1401319.782986111,95.3663418888889,14694.07083495753
GAB,2020,1650059.0286458333,103.26185066666667,15979.367191202962
GHA,1975,6221443.540798611,374.50864566666667,16612.282821198307
GHA,1980,7212073.2472873265,415.11087,17373.84821382135
GHA,1985,8298880.3703342015,472.7133944444445,17555.839263000882
GHA,1990,9422854.097764757,541.3840547777778,17405.119368786287
GHA,1995,10947087.182400173,628.8744795555556,17407.427934008083
GHA,2000,12622745.46657986,738.4384622222223,17093.835319186324
GHA,2005,14686212.920681423,838.2146418888889,17520.82603518656
GHA,2010,16979549.646267362,967.8669336666667,17543.26866188314
GHA,2015,19429749.118489582,1106.2395202222222,17563.781408375755
GHA,2020,21958486.97016059,1184.1263745555557,18544.040097411376
GIN,1975,1451002.6156927745,101.75680677777778,14259.514047660274
GIN,1980,1634319.385330836,110.26016755555555,14822.391635740712
GIN,1985,1889181.2100745307,121.3767961111111,15564.59941771021
GIN,1990,2242767.555296156,133.83373644444444,16757.864010074536
GIN,1995,2741564.301550971,149.02262555555555,18396.966845339317
GIN,2000,3173790.3734541996,168.1410611111111,18875.760343613467
GIN,2005,3603527.6883239746,182.14837,19783.47480311778
GIN,2010,4158830.2638753257,200.70997855555555,20720.595427317938
GIN,2015,4860820.959269205,221.15356944444446,21979.391838350057
GIN,2020,5445358.581976997,235.24532822222224,23147.573739841035
GMB,1975,266551.8728298611,28.887177777777776,9227.34214052967
GMB,1980,329927.2161458334,31.265101888888882,10552.571276381614
GMB,1985,415349.4535590278,34.51442366666667,12034.08341887406
GMB,1990,533392.6961805555,38.408069,13887.516609610224
GMB,1995,671025.5894097222,44.88943,14948.409668149547
GMB,2000,805207.1644965279,53.441534,15067.066834131818
GMB,2005,962830.2421875001,56.74269433333334,16968.35607649121
GMB,2010,1156544.8519965278,60.89910288888889,18991.164025957114
GMB,2015,1391486.2473958335,65.21122988888888,21338.138381483343
GMB,2020,1657208.7803819443,66.89590655555556,24772.947489779057
GNB,1975,222118.64279513888,12.059524333333334,18418.52436759782
GNB,1980,282357.9583333333,13.409754333333334,21056.16190383602
GNB,1985,311667.97743055556,15.170668666666668,20544.11603592394
GNB,1990,348209.07508680556,17.145865555555556,20308.632069844956
GNB,1995,415056.97048611107,19.387179777777778,21408.83693469759
GNB,2000,478842.64670138893,22.144412666666668,21623.63273794011
GNB,2005,558858.6493055556,24.38537722222222,22917.77749479601
GNB,2010,657762.5720486111,27.32132388888889,24075.06220136396
GNB,2015,769967.4314236111,30.191250666666665,25502.99886296897
GNB,2020,872755.0173611111,31.00083422222222,28152.630058435563
GNQ,1975,120987.47178819444,9.345300444444444,12946.343727249408
GNQ,1980,123189.50173611111,10.311635777777777,11946.649822678204
GNQ,1985,149858.30902777778,11.518691666666667,13010.01132458861
GNQ,1990,181495.2751736111,12.846423999999999,14128.077601487474
GNQ,1995,234778.20746527778,12.86350511111111,18251.495641143985
GNQ,2000,359717.1545138889,12.883983666666666,27919.71519216887
GNQ,2005,485041.23350694444,16.36960433333333,29630.602159348335
GNQ,2010,624233.9288194444,22.165879666666665,28161.928974024675
GNQ,2015,788232.9001736111,28.934997444444445,27241.505781606793
GNQ,2020,1363837.0321180555,31.30391477777778,43567.61899589072
KEN,1975,10191002.162119547,275.453461,36997.18320881634
KEN,1980,12267470.14916314,332.5059151111111,36893.99072814632
KEN,1985,14840070.1296658,426.49913233333336,34795.07695238976
KEN,1990,17707814.99009196,551.0583112222222,32134.19456611921
KEN,1995,20567709.589301214,623.5135278888888,32986.789651445084
KEN,2000,23564876.16880968,738.6951148888888,31900.67958193307
KEN,2005,27199663.156548396,897.4118316666667,30309.008859436788
KEN,2010,31072255.473795574,1188.2179085555556,26150.300588861035
KEN,2015,34539928.446614586,1623.1790582222222,21279.18560287751
KEN,2020,37585209.32845052,2268.980988222222,16564.79693904313
LBR,1975,688189.5325520834,52.019491,13229.455331504172
LBR,1980,817514.0149739584,56.52390511111111,14463.15525027758
LBR,1985,1023756.7109375,62.22792966666667,16451.723790609907
LBR,1990,1392039.6629774305,68.6410078888889,20280.000334942106
LBR,1995,968967.5062934029,70.65266777777778,13714.521146477784
LBR,2000,1468104.1004774305,73.31397799999999,20024.886665915616
LBR,2005,1876250.515625,81.39161144444445,23052.13623772118
LBR,2010,2009935.5381944445,92.44766411111111,21741.333948456944
LBR,2015,2362630.155815972,104.63132811111112,22580.523428958342
LBR,2020,2693883.348090278,111.18322444444443,24229.224881280057
LSO,1975,303756.5220269097,19.641996555555558,15464.645926790725
LSO,1980,377042.31749131944,23.90073077777778,15775.346829222588
LSO,1985,456332.6015625,30.46054522222222,14981.104186854365
LSO,1990,527741.1365017361,38.22058255555556,13807.773226235826
LSO,1995,586808.5026041666,44.08146877777777,13311.909037386406
LSO,2000,614487.4529079861,50.951907777777784,12060.146120298743
LSO,2005,616376.9240451389,55.93890788888889,11018.75147919306
LSO,2010,631954.9034288194,61.58084455555556,10262.199357442998
LSO,2015,656028.3389756944,67.45825233333333,9724.953082597565
LSO,2020,676955.8962673611,72.41796322222223,9347.900246656343
MDG,1975,967890.5577256944,70.93116966666666,13645.489878063354
MDG,1980,1151755.4052530925,80.51567922222222,14304.734386879638
MDG,1985,1367491.257473416,92.71754844444443,14749.001461064354
MDG,1990,1640301.8185492621,106.39017955555556,15417.793497497745
MDG,1995,1989815.8931477866,116.87915166666667,17024.557970977057
MDG,2000,2341375.763970269,128.23785122222222,18258.070777503282
MDG,2005,2726124.3819444445,135.88812766666666,20061.53465173663
MDG,2010,3385780.660481771,144.66904544444446,23403.62895241451
MDG,2015,4147609.8374565975,152.89136722222221,27127.82227546041
MDG,2020,5070212.673339844,155.47889677777778,32610.29489157346
MLI,1975,1724141.3815294902,119.15388033333332,14469.871872457697
MLI,1980,1963470.4767506917,130.80311677777777,15010.88448898694
MLI,1985,2222653.5821236507,146.48794900000001,15172.94492343292
MLI,1990,2490535.854256524,164.16255533333333,15171.156718409211
MLI,1995,2903698.5444132485,187.36999155555554,15497.137616896869
MLI,2000,3493645.831190321,216.17321166666665,16161.326393102909
MLI,2005,4358261.3956977,238.71827877777778,18256.923675940183
MLI,2010,5428587.4296875,268.5883522222222,20211.551933555347
MLI,2015,6478580.311848958,301.97823733333337,21453.798687809714
MLI,2020,7754336.6863064235,327.2477254444444,23695.616755701016
MOZ,1980,4653507.146883541,227.3833621111111,20465.468993327664
MOZ,1985,5326274.469076687,263.86565777777776,20185.55394413003
MOZ,1990,5817695.332413409,305.1291121111111,19066.33979354591
MOZ,1995,6997725.444637722,351.0452298888889,19933.97103516435
MOZ,2000,8028475.483788384,411.93622344444447,19489.6079219679
MOZ,2005,9078923.236423068,473.06806311111114,19191.57927659697
MOZ,2010,10271497.835144043,553.9264076666667,18543.073038187893
MOZ,2015,11822686.100023057,642.9004012222222,18389.607593255303
MOZ,2020,13028718.234422471,697.6320782222222,18675.62952039647
MRT,1975,365528.46072048607,21.959616333333333,16645.48483780368
MRT,1980,505645.78895399306,24.39208011111111,20729.91670454791
MRT,1985,678483.4559461805,27.71789188888889,24478.176719426494
MRT,1990,845814.5470920139,31.658436888888893,26716.876454152036
MRT,1995,982149.9544270834,37.46523988888889,26214.965054003584
MRT,2000,1109239.2860243055,47.30989533333334,23446.242656190447
MRT,2005,1311231.5720486112,57.03608222222222,22989.509814854242
MRT,2010,1556889.6241319445,71.37486322222223,21812.856149154963
MRT,2015,1852441.9674479167,88.50414666666666,20930.566953261216
MRT,2020,2153259.1336805555,101.36490488888889,21242.64937693031
MUS,1975,697095.2521701389,22.29898877777778,31261.294362587163
MUS,1980,751218.7304687501,26.555138111111113,28289.01613411032
MUS,1985,805649.6493055555,32.25394377777778,24978.329932497418
MUS,1990,854385.2126736111,38.83537144444445,22000.18130110699
MUS,1995,903344.1414930555,39.08534477777778,23112.093461860866
MUS,2000,943156.0034722222,39.35748788888889,23963.826302503596
MUS,2005,967833.3871527778,43.32566477777777,22338.56980883974
MUS,2010,980215.1788194445,47.98650255555555,20426.893535002204
MUS,2015,982259.8854166667,52.471616222222224,18719.83285700032
MUS,2020,982257.2005208334,53.847232222222225,18241.554114929335
MWI,1975,1443397.8640407987,101.8752771111111,14168.28405253362
MWI,1980,1804060.2068142362,121.57237111111111,14839.393114784401
MWI,1985,2233166.029730903,150.11483155555555,14876.3850086621
MWI,1990,2789239.910698785,184.49381033333333,15118.338689299868
MWI,1995,3040766.6983506945,194.76247311111112,15612.69298842776
MWI,2000,3419207.4050564235,207.56338844444443,16473.075674285374
MWI,2005,3881486.334201389,227.38337711111112,17070.229070899484
MWI,2010,4447904.440755208,253.74614422222223,17528.953806919268
MWI,2015,5078941.349392361,284.5745103333333,17847.49218559033
MWI,2020,5702347.768880209,313.40730822222224,18194.68665624397
NAM,1975,261073.8548177083,27.641209666666665,9445.09513028096
NAM,1980,293920.5251736111,33.362831444444446,8809.819564117199
NAM,1985,335623.59917534725,41.28757344444444,8128.92527159423
NAM,1990,412505.07703993056,49.950987888888896,8258.19657375962
NAM,1995,499575.15190972225,57.82457444444445,8639.495520882634
NAM,2000,600792.2608506944,66.94853555555555,8973.941787750415
NAM,2005,690037.751736111,71.18879488888889,9693.066904884658
NAM,2010,783232.1549479167,76.49065,10239.580327110787
NAM,2015,891833.5403645833,82.70549322222222,10783.244324150353
NAM,2020,967290.9813368056,89.59376944444445,10796.409028605567
NER,1975,1831796.7445976883,51.32587655555556,35689.536497539135
NER,1980,2173115.5485597798,58.666112999999996,37042.09188973846
NER,1985,2582865.128704437,69.47416855555556,37177.344938486436
NER,1990,3048409.3745185304,81.63908466666668,37340.07291930356
NER,1995,3667759.384019049,91.50065544444445,40084.51487263899
NER,2000,4408626.960110094,103.49042822222222,42599.36919618854
NER,2005,5176617.810158189,115.92494033333334,44654.910283095414
NER,2010,6059219.250758617,132.37746422222224,45772.28674351245
NER,2015,6983571.853139235,152.27213566666666,45862.44109970793
NER,2020,7633325.360776908,177.2437558888889,43066.8224248312
NGA,1975,43091590.22467889,1718.3752747777778,25076.93799903606
NGA,1980,49379884.94571262,1931.2163716666666,25569.317695405145
NGA,1985,55871435.04979113,2217.185433888889,25199.261277751586
NGA,1990,62915477.6658393,2552.0097713333334,24653.305944423646
NGA,1995,71666432.50343153,2749.167228,26068.415108952235
NGA,2000,81178146.16582574,2983.9062815555553,27205.32701298727
NGA,2005,92437095.80268012,3424.2129002222223,26995.136837630977
NGA,2010,105096505.17529297,4040.0039195555555,26013.96119112051
NGA,2015,118792438.38764106,4698.991009555555,25280.414060395662
NGA,2020,131524162.79416233,4978.706378888889,26417.336710568365
RWA,1975,1834632.7398003472,67.03315988888889,27369.03262268034
RWA,1980,2189633.181315104,79.75389911111111,27454.873124943555
RWA,1985,2675088.925130208,99.8668291111111,26786.561152892154
RWA,1990,3187833.0262586805,125.91943966666666,25316.448633328553
RWA,1995,2603349.2981770835,141.40532922222224,18410.545857757956
RWA,2000,3781149.8561197915,162.5274991111111,23264.677527184664
RWA,2005,4321066.372395833,187.06058633333333,23099.822667592263
RWA,2010,4958518.043836805,221.62729222222222,22373.2284689242
RWA,2015,5596671.704861111,265.2931567777778,21096.178178275248
RWA,2020,6230227.888020833,313.88950366666666,19848.47475064662
SDN,1975,7497153.990370429,344.88082544444444,21738.390299631537
SDN,1980,9384003.496022874,374.73481944444444,25041.717526903263
SDN,1985,11197226.864649508,416.47040888888887,26886.00828693412
SDN,1990,12419195.806126105,463.91549533333335,26770.383682059688
SDN,1995,14049765.749728838,499.1162622222222,28149.28467202185
SDN,2000,15982075.016326904,556.7504202222223,28705.99542600757
SDN,2005,18095706.935787838,588.311006,30758.742826898324
SDN,2010,20624121.797907934,634.4065798888888,32509.312563435396
SDN,2015,22852374.287852816,703.5922721111111,32479.56976458089
SDN,2020,24542657.072926838,825.4316734444444,29733.117667405186
SEN,1975,3308250.5276150173,130.96287466666666,25260.979770300124
SEN,1980,3683430.8002387155,141.30967122222222,26066.37442702834
SEN,1985,4135459.4073350695,155.39374633333333,26612.778859608312
SEN,1990,4688053.655381944,171.63972622222224,27313.336828050597
SEN,1995,5405082.031467014,188.82349844444445,28625.049721008607
SEN,2000,6097063.5973307295,210.5058718888889,28963.864725583222
SEN,2005,6885428.1654730905,228.909314,30079.283560620388
SEN,2010,7817978.222005208,253.8806143333333,30793.91564627526
SEN,2015,8872426.110677084,283.958146,31245.541766134378
SEN,2020,9859088.678602431,315.186304,31280.193820231576
SLE,1975,1190099.90625,33.756761777777776,35255.15611018851
SLE,1980,1313120.0933159722,37.22098,35279.03062509296
SLE,1985,1469228.279513889,41.69102788888889,35240.87444976271
SLE,1990,1664380.6067708333,46.83196411111111,35539.41497781321
SLE,1995,1743211.6571180555,53.047022444444444,32861.63062109097
SLE,2000,1907839.3706597222,61.522370888888894,31010.498182934676
SLE,2005,2356907.509548611,71.05078877777778,33172.151218759864
SLE,2010,2720948.9348958335,84.79655466666667,32087.965667848443
SLE,2015,3133522.525173611,99.88033777777778,31372.766601423962
SLE,2020,3692077.980902778,104.95346055555555,35178.239586949414
SOM,1975,2497154.419060601,41.813862444444446,59720.73071169685
SOM,1980,3445214.1926540798,46.721501777777775,73739.37184298156
SOM,1985,3981089.660692003,53.564143111111115,74323.7813481643
SOM,1990,4353694.897115071,61.13216111111111,71217.74885729932
SOM,1995,4668376.619167752,70.08222966666666,66612.84381749886
SOM,2000,5659262.811686198,81.90871844444445,69092.31299381958
SOM,2005,6821012.852013482,93.45930755555555,72983.77262167097
SOM,2010,7833845.9317491315,108.71433455555555,72058.99722217271
SOM,2015,8941826.387586806,126.249218,70826.786329772
SOM,2020,10753707.426323785,143.04829355555555,75175.36322198332
SSA,1975,170783492.3783661,8204.740957333333,20815.22052511861
SSA,1980,203899024.99755308,9409.304783666666,21669.935206211554
SSA,1985,236970101.67925444,10810.952347111112,21919.447433562804
SSA,1990,274380879.74647856,12462.224450333333,22017.006742254554
SSA,1995,318252203.6110011,13777.055058888887,23100.16199040058
SSA,2000,366260686.9678918,15448.41370288889,23708.627566039366
SSA,2005,419580931.30190516,17143.70431233333,24474.344847400043
SSA,2010,479377501.21604526,19511.700999666667,24568.719109842594
SSA,2015,543605516.4521843,22325.41421533333,24349.179424354435
SSA,2020,602806241.1802518,24908.97137888889,24200.366687608323
SSD,1975,909798.9314129353,14.367463444444441,63323.55985667971
SSD,1980,1105428.8439835443,16.885172999999998,65467.42778315297
SSD,1985,1348041.417336146,20.640479999999997,65310.56532290656
SSD,1990,1435926.7423375447,24.82175044444444,57849.535855716866
SSD,1995,1691304.9250893062,28.027583666666665,60344.300286605976
SSD,2000,2046388.98535898,32.60708255555555,62759.03346680487
SSD,2005,2696531.6165330675,40.673180555555554,66297.53512513907
SSD,2010,3563340.9572211374,52.841985,67433.8966869079
SSD,2015,4168354.1561143664,70.18675511111111,59389.46955897215
SSD,2020,3789917.0445963545,96.68234911111112,39199.67894285268
STP,1975,65945.078125,5.616922333333333,11740.429048422544
STP,1980,74880.44010416666,5.622205888888888,13318.694047144761
STP,1985,82428.78211805556,5.627662555555555,14647.072617508478
STP,1990,92992.87239583333,5.634242888888889,16504.945603112286
STP,1995,103102.53602430556,5.634295111111111,18299.101128192986
STP,2000,112041.64149305556,5.634341777777777,19885.489008663855
STP,2005,125601.0373263889,5.655832888888888,22207.345901810007
STP,2010,141869.7873263889,5.677976,24985.97868789669
STP,2015,157484.34548611112,5.700344444444444,27627.163063732994
STP,2020,173150.78819444444,5.728341111111111,30227.038654976124
SWZ,1975,134466.859375,4.288639444444444,31354.20011798614
SWZ,1980,167799.18207465278,5.649560444444444,29701.280962426008
SWZ,1985,209704.37413194444,7.864851666666666,26663.487503614007
SWZ,1990,259393.32682291663,10.53815611111111,24614.678705454004
SWZ,1995,303848.3177083333,13.954446888888889,21774.300345094292
SWZ,2000,337397.07204861107,18.639132000000004,18101.544216147566
SWZ,2005,354799.6215277778,22.085694444444442,16064.680348641972
SWZ,2010,364063.22222222225,27.01121022222222,13478.226974173342
SWZ,2015,371397.9552951389,33.68501388888889,11025.613838848547
SWZ,2020,360483.65234375,43.29780755555556,8325.679120847222
SYC,1975,46891.37152777778,1.6804564444444443,27903.949360187064
SYC,1980,50531.95486111111,2.1609386666666666,23384.26149736987
SYC,1985,52209.30555555556,2.6589306666666666,19635.452029671414
SYC,1990,54292.37152777778,3.1989075555555555,16972.160209346468
SYC,1995,56507.18402777778,3.299398666666667,17126.50993002496
SYC,2000,59580.79861111111,3.401279555555556,17517.171887207413
SYC,2005,63289.93055555556,3.536240888888889,17897.516754137665
SYC,2010,67410.53472222222,3.675050222222222,18342.751975090167
SYC,2015,71323.47916666667,3.8063582222222223,18737.983921289127
SYC,2020,75978.5625,3.891102222222222,19526.23142771314
TCD,1975,1847347.0207502577,75.09043622222222,24601.62856536389
TCD,1980,2052398.3218044706,83.39272122222222,24611.240546225923
TCD,1985,2362059.338663737,95.14378977777777,24826.206147355195
TCD,1990,2792006.7208641903,108.59966899999999,25709.164185980993
TCD,1995,3347898.378377279,116.78772355555554,28666.52655306441
TCD,2000,4027340.27867296,127.19685122222222,31662.263963098438
TCD,2005,4796528.152133518,138.48427455555554,34635.9048168267
TCD,2010,5567808.166693794,153.40213044444445,36295.50743892837
TCD,2015,6391903.8538954,171.61541755555555,37245.510601203445
TCD,2020,7011821.857204861,192.19507377777776,36482.83860444914
