ISO3,agglosID,agglosName,pop_2000,pop_2020,pop_cagr,built_up_2000,built_up_2020,built_up_cagr,size_category
AGO,1095,Dondo (alto dondo),33313.25,18496.465277777777,-0.028990258595842144,0.5869713333333333,0.8260186666666667,0.01722880232772006,Fewer than 300 000
AGO,1096,Alto hama,27710.53125,19521.63888888889,-0.017361963239649114,0.6706442222222222,0.7427373333333334,0.005118237874039311,Fewer than 300 000
AGO,1208,Cambulo,47616.24305555556,87392.15972222222,0.03082719458053984,1.7449255555555556,2.140916888888889,0.010278580241661617,Fewer than 300 000
AGO,1209,Andulo,184646.61111111112,78280.40972222222,-0.04199982714277972,2.823001111111111,3.613871555555556,0.012425518577351857,Fewer than 300 000
AGO,1497,Baia farta,36084.145833333336,44715.09722222222,0.01078057585226655,0.9873083333333336,1.5794933333333332,0.02377200526545309,Fewer than 300 000
AGO,1501,Bailundo,131634.02777777778,85201.03472222222,-0.021515760274090523,2.4307297777777777,3.8363502222222223,0.023078783236990752,Fewer than 300 000
AGO,1541,Balombo,47531.125,50881.49305555556,0.0034115312533984365,0.8119406666666666,1.4241051111111112,0.028491928061733285,Fewer than 300 000
AGO,1809,Benguela,475886.27777777775,601077.5,0.011745693446533645,11.96959022222222,19.764181333333333,0.025392124100581004,500 000 to 1 million
AGO,1867,Bibala,6891.797743055556,23840.756944444445,0.06401898207402756,0.3935548888888889,0.6536765555555556,0.025694153120396024,Fewer than 300 000
AGO,1980,Bocoio,64781.61111111111,46932.038194444445,-0.01598689234153028,1.0738893333333333,1.325259777777778,0.010571565765272961,Fewer than 300 000
AGO,2173,Bucau zau,2149.956380208333,27516.993055555555,0.13594830087856224,0.3266871111111111,0.5114230000000001,0.022662692265245976,Fewer than 300 000
AGO,2311,Caala,134101.61111111112,108238.90972222222,-0.010655666513695206,3.7734706666666655,4.957116444444444,0.013734920657906935,Fewer than 300 000
AGO,2312,Cabinda,154439.36111111112,972536.6666666666,0.09637064618999913,10.48248,21.456446222222223,0.03646511061936453,500 000 to 1 million
AGO,2314,Cacolo,17755.461805555555,27126.01388888889,0.021416102956629546,0.1501886666666666,0.8415366666666667,0.08998819423638826,Fewer than 300 000
AGO,2315,Caconda,29067.631944444445,70906.78472222222,0.04559598520993546,1.842568222222222,2.09656,0.006477767315278937,Fewer than 300 000
AGO,2316,Cacuso,30418.229166666668,34347.04513888889,0.00609217831498321,1.1742794444444444,1.4336863333333332,0.010029676508401808,Fewer than 300 000
AGO,2317,Cuango,73088.93055555556,152598.41666666666,0.03749239277346694,2.147572,2.6255777777777776,0.01009880600757107,Fewer than 300 000
AGO,2318,Cahama,11682.802951388889,33736.711805555555,0.054454355344684346,0.4460366666666667,0.6132497777777778,0.01604593321701997,Fewer than 300 000
AGO,2319,Caimbambo,37319.82291666666,33507.82638888889,-0.005372794425901772,0.7443673333333334,1.072296666666667,0.018418740709604142,Fewer than 300 000
AGO,2324,Calenga,20915.383680555555,14199.980034722224,-0.019175975739320172,0.6787040000000001,0.7143517777777778,0.0025627998545589836,Fewer than 300 000
AGO,2325,Calulo,41871.65972222222,70511.90277777778,0.02640110973262444,0.9059931111111112,1.469140777777778,0.024464528717937473,Fewer than 300 000
AGO,2326,Ambaca,59201.22916666666,32659.684027777777,-0.02930216108853778,0.6130751111111111,1.3003778888888888,0.03831181174897713,Fewer than 300 000
AGO,2327,Camacupa,115446.72222222222,76382.09027777778,-0.02044123136576481,2.3960566666666665,2.8171955555555552,0.008128739033096855,Fewer than 300 000
AGO,2328,Camanongue,5315.076388888889,38639.25,0.1042717420857977,0.4423564444444444,0.8089023333333334,0.030638084149970046,Fewer than 300 000
AGO,2331,Cangandala,13331.465277777776,23587.95138888889,0.028941341406918397,0.2355965555555556,0.5253454444444444,0.04091148811530787,Fewer than 300 000
AGO,2343,Katchiungo,55529.43055555556,37355.5625,-0.019626410854593823,0.9894296666666668,1.4543827777777778,0.019447088221900888,Fewer than 300 000
AGO,2344,Gama (ext. sul),6311.912326388889,21149.725694444445,0.06232447919788742,0.6365014444444445,1.773809222222222,0.05258063496759258,Fewer than 300 000
AGO,2345,Caxito,104512.11805555556,66834.01388888889,-0.022106532973829585,0.7236173333333333,1.5963946666666666,0.040355015789794946,Fewer than 300 000
AGO,2346,Cazombo,14769.388888888889,141005.38888888888,0.11942153962860291,1.0362935555555557,3.236439111111112,0.058593522357409666,Fewer than 300 000
AGO,2348,Cela,84002.375,123952.90277777778,0.019643269402843222,2.614411555555556,4.2420773333333335,0.0244959156747675,Fewer than 300 000
AGO,2413,Chibia,18963.366319444445,54349.444444444445,0.05405672568562725,0.799135,1.152191888888889,0.01846294617794464,Fewer than 300 000
AGO,2436,Chipindo,8847.255208333334,25845.277777777777,0.055063581643853166,0.4452262222222222,0.9757128888888889,0.04000892278656032,Fewer than 300 000
AGO,2457,Chongoroi,23863.26736111111,33395.461805555555,0.016945964624692778,0.4281041111111111,1.0613175555555554,0.046441121267886576,Fewer than 300 000
AGO,2501,Conda,26969.131944444445,41372.68055555556,0.021626935230149247,0.4381836666666666,0.6747337777777778,0.021818622409322863,Fewer than 300 000
AGO,2512,Cuango luzamba,15833.251736111111,32955.368055555555,0.03733206473039519,0.6197498888888888,0.8495246666666667,0.015893020965702664,Fewer than 300 000
AGO,2513,Cubal,129565.98611111112,114051.50694444444,-0.00635671679341232,2.050888,2.922811111111111,0.017871466771848032,Fewer than 300 000
AGO,2514,Cuchi,25309.37326388889,16265.703125,-0.021863258442177402,0.4527044444444444,0.5269451111111111,0.007621744629052074,Fewer than 300 000
