unique_id,ISO3,Agglomeration_Name,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_km2_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025,worldpop_built_cagr_2015_2020,worldpop_built_cagr_2020_2025,africapolis_pop_cagr_2015_2020,africapolis_pop_cagr_2020_2025,buppercapita_2015,size_category_2015,buppercapita_2020,size_category_2020,buppercapita_2025,size_category_2025
TCD_1833,TCD,Bere,1.775956,1.808971,1.826202,19143,22948,26957,0.0036906549244148934,0.0018978436382122155,0.03692409996685919,0.0327265528495464,92.7731285587421,Fewer than 300 000,78.82913543663936,Fewer than 300 000,67.74500129836407,Fewer than 300 000
TCD_1850,TCD,Bessao,0.389519,0.452876,0.457172,11587,13816,16147,0.030599985192094614,0.0018900499716185681,0.03581516127945994,0.03167261851592151,33.61689824803659,Fewer than 300 000,32.77909669947887,Fewer than 300 000,28.313123180776614,Fewer than 300 000
TCD_1903,TCD,Biltine,1.334877,1.900206,1.944895,35624,42573,49864,0.0731783110028128,0.004659961947279356,0.036282858798999396,0.03212089859291756,37.471283404446446,Fewer than 300 000,44.634063843280956,Fewer than 300 000,39.00399085512594,Fewer than 300 000
TCD_1908,TCD,Binder Urbain,0.225062,0.234521,0.237802,19996,23994,28212,0.008267834579259281,0.0027825157376908383,0.03712691568154858,0.03291894771224091,11.255351070214044,Fewer than 300 000,9.774151871301159,Fewer than 300 000,8.429108180915923,Fewer than 300 000
TCD_1959,TCD,Bitkine,0.760436,1.018287,1.030329,39749,43508,46508,0.06013581358991016,0.0023540394052612434,0.018236316430653154,0.013425222071765441,19.13094669048278,Fewer than 300 000,23.404592258894912,Fewer than 300 000,22.153801496516728,Fewer than 300 000
TCD_2015,TCD,Bokoro,1.03175,1.123924,1.132862,22860,27046,31373,0.017261231392752707,0.0015854636347729656,0.03420197672721237,0.030126598722689968,45.1334208223972,Fewer than 300 000,41.55601567699475,Fewer than 300 000,36.109457176553086,Fewer than 300 000
TCD_2018,TCD,Bol,0.748587,0.914049,0.924097,65184,77463,90244,0.04074765113096945,0.002188965086889816,0.03511990742536364,0.031014575315142956,11.484213917525773,Fewer than 300 000,11.79981410479842,Fewer than 300 000,10.2399827135322,Fewer than 300 000
TCD_2042,TCD,Bongor,2.245002,2.713849,2.803619,62545,74684,87406,0.03866091530792448,0.00652985921235083,0.03611269438709619,0.03195969412634314,35.89418818450715,Fewer than 300 000,36.33775641368968,Fewer than 300 000,32.07581859368922,Fewer than 300 000
TCD_2139,TCD,Bousso,0.495288,0.599215,0.606054,12621,14985,17442,0.03883117478831544,0.002272302924582137,0.0349338602117939,0.030832035917871314,39.24316615165201,Fewer than 300 000,39.98765432098766,Fewer than 300 000,34.746818025455795,Fewer than 300 000
TCD_215,TCD,Adre,1.091338,1.320218,1.350328,19674,23412,27310,0.03881275738555101,0.004520316230181898,0.035402405632535716,0.03128009865082171,55.47107858086815,Fewer than 300 000,56.39065436528276,Fewer than 300 000,49.44445258147199,Fewer than 300 000
TCD_2160,TCD,Bredjing camp,0.372676,0.493941,0.498651,41500,49000,56729,0.05795873885120195,0.0018998775654739397,0.03378350109200201,0.029726310676967183,8.980144578313254,Fewer than 300 000,10.080428571428572,Fewer than 300 000,8.790054469495319,Fewer than 300 000
TCD_25,TCD,Abdi II,0.082842,0.113987,0.143429,18193,21649,25253,0.06591101380493058,0.0470232589431665,0.035396527659869115,0.03127627724600068,4.5535095916011645,Fewer than 300 000,5.265231650422653,Fewer than 300 000,5.679681621985507,Fewer than 300 000
TCD_27,TCD,Abéché,9.475269,10.213076,10.399997,124449,148091,172748,0.015109759209452234,0.0036339182529365743,0.035398307914040306,0.03128065789830359,76.13776727816214,Fewer than 300 000,68.96486619713555,Fewer than 300 000,60.20328455322204,Fewer than 300 000
