ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
AGO,AGO_6723,Sumbe,29.0,2015,2015,188779.0,5.850887,59531944.0
AGO,AGO_6927,Nzetu,5.0,2015,2015,27193.0,1.32403,7202300.0
AGO,AGO_7092,Ondjiva,26.0,2015,2015,98340.0,4.710412,26232594.0
AGO,AGO_7333,Ext. Pinheiro,10.0,2015,2015,21902.0,1.26296,4804966.0
AGO,AGO_7352,Jamba,4.0,2015,2015,9424.0,0.757046,3381031.0
AGO,AGO_7366,Porto Amboim,12.0,2015,2015,85858.0,3.249733,26933508.0
AGO,AGO_7444,Quibala,6.0,2015,2015,27936.0,1.61913,8837938.0
AGO,AGO_7445,Quilenda,2.0,2015,2015,10444.0,0.40992,2225118.0
AGO,AGO_7446,Quipungo,7.0,2015,2015,14628.0,1.25746,6340236.0
AGO,AGO_7777,Soyo,27.0,2015,2015,164589.0,7.889482,53183956.0
AGO,AGO_7780,Sanza Pombo,4.0,2015,2015,19556.0,0.855414,5989773.0
AGO,AGO_7799,Sassalemba,41.0,2015,2015,73329.0,4.196418,19931800.0
AGO,AGO_7802,Saurimo,42.0,2015,2015,362315.0,11.926442,69854416.0
AGO,AGO_8099,Silva Porto,61.0,2015,2015,285280.0,14.557113,99297080.0
AGO,AGO_8168,Songo,6.0,2015,2015,23456.0,1.133476,7662712.0
AGO,AGO_8560,Tomboco,4.0,2015,2015,15300.0,0.654304,4033559.0
AGO,AGO_8562,Tombua,4.0,2015,2015,34903.0,0.992857,6550471.0
AGO,AGO_8715,Uige,40.0,2015,2015,450592.0,11.338429,112627616.0
AGO,AGO_8721,Uku-Seles,6.0,2015,2015,35437.0,1.507421,9917188.0
AGO,AGO_8722,Ukuma,5.0,2015,2015,15907.0,1.197613,6123213.0
AGO,AGO_9031,Xangongo,9.0,2015,2015,22191.0,1.508651,9301116.0
BDI,BDI_1592,Mugerama,2.0,2015,2015,5087.0,0.350607,1197223.0
BDI,BDI_2172,Bubanza,5.0,2015,2015,20516.0,0.843782,7452469.0
BDI,BDI_2195,Bujumbura,300.0,2015,2015,1094783.0,40.232104,330925984.0
BDI,BDI_2464,Rugombo centre-urbain sud,7.0,2015,2015,33544.0,1.50809,8985229.0
BDI,BDI_3401,Gasenyi,7.0,2015,2015,23864.0,1.025671,5027316.0
BDI,BDI_3406,Gatabo,4.0,2015,2015,3335.0,0.207151,517909.0
BDI,BDI_3413,Gatumba,4.0,2015,2015,20248.0,1.265255,9466373.0
BDI,BDI_3528,Gitega,25.0,2015,2015,85279.0,4.007996,31847000.0
BDI,BDI_4886,Kirundo,8.0,2015,2015,24503.0,0.975643,4912753.0
BDI,BDI_5554,Makamba,20.0,2015,2015,30817.0,2.051715,10837369.0
BDI,BDI_6340,Sampeke,9.0,2015,2015,6797.0,0.389162,973041.0
BDI,BDI_6396,Muramwiya,34.0,2015,2015,39715.0,1.655581,7554596.0
BDI,BDI_6435,Muyange,14.0,2015,2015,33220.0,2.097674,11340058.0
BDI,BDI_6437,Muyinga,13.0,2015,2015,45441.0,1.598583,8894265.0
BDI,BDI_6614,Ndava,2.0,2015,2015,8162.0,0.510099,3306669.0
BDI,BDI_6717,Kayanza,14.0,2015,2015,68215.0,2.540881,18064766.0
BDI,BDI_6908,Kagunuzi,1.0,2015,2015,3444.0,0.208176,646597.0
BDI,BDI_7555,Kinyami,2.0,2015,2015,4608.0,0.139831,349596.0
BDI,BDI_7567,Mugina,3.0,2015,2015,8594.0,0.388774,1251963.0
