ISO3_Code,Year,Rural_Pop,Urban_Pop,Total_Pop,Urbanization_Rate
AFE,1950.0,91002189.52106664,12316301.47893334,103318490.99999997,0.11920713668701707
AFE,1951.0,92606024.87460393,12938542.12539604,105544566.99999997,0.12258842395360856
AFE,1952.0,94287359.19008042,13586600.809919592,107873960.00000001,0.1259488463195343
AFE,1953.0,96037019.59639911,14244537.403600888,110281557.0,0.12916518220359266
AFE,1954.0,97881412.50883408,14901378.491165888,112782790.99999997,0.1321245764450526
AFE,1955.0,99854222.79707809,15550350.202921906,115404573.0,0.134746395213662
AFE,1956.0,101943300.64080535,16201801.359194605,118145101.99999996,0.1371347697443658
AFE,1957.0,104070928.40080605,16872476.599193968,120943405.00000003,0.13950720669055053
AFE,1958.0,106205215.2271183,17557459.772881664,123762674.99999997,0.14186393250535081
AFE,1959.0,108509952.09246318,18276799.907536864,126786752.00000004,0.14415386165533176
AFE,1960.0,111033265.74063903,19043989.259360917,130077254.99999994,0.1464052209539702
AFE,1961.0,113689200.72794896,19858713.272051074,133547914.00000003,0.14870103678333058
AFE,1962.0,116452269.96337521,20725335.03662474,137177604.99999994,0.15108395453197151
AFE,1963.0,119306409.37566635,21641514.624333594,140947923.99999994,0.15354262773202396
AFE,1964.0,122289354.26937973,22615714.730620176,144905068.9999999,0.15607262662854252
AFE,1965.0,125378845.20619546,23655055.793804612,149033901.00000006,0.15872265058541682
AFE,1966.0,128527992.90272827,24753802.09727174,153281795.0,0.16149212042611935
AFE,1967.0,131794105.56990606,25911370.430093892,157705475.99999994,0.16430228732256513
AFE,1968.0,135192623.42674252,27138389.573257472,162331013.0,0.16717932742314293
AFE,1969.0,138650630.37875712,28439666.621242933,167090297.00000006,0.17020537476956502
AFE,1970.0,142165610.4693382,29821724.530661758,171987334.99999997,0.1733948870750382
AFE,1971.0,145730509.85656527,31294495.143434726,177025005.0,0.1767800833754233
AFE,1972.0,149269661.1267962,32859303.873203803,182128965.0,0.180417781834997
AFE,1973.0,152989568.29901877,34536297.700981125,187525865.99999988,0.18416818136960983
AFE,1974.0,156897353.60776347,36289512.39223645,193186865.9999999,0.187846685148029
AFE,1975.0,160827924.19373488,38084594.80626521,198912519.0000001,0.1914640415682695
AFE,1976.0,164873303.17359367,39925255.82640635,204798559.00000003,0.19494890990129646
AFE,1977.0,168885034.68453816,41788894.31546186,210673929.0,0.198358166640837
AFE,1978.0,173290901.01439062,43777996.98560952,217068898.00000012,0.2016778883984084
AFE,1979.0,178059089.19559723,45907445.80440276,223966535.0,0.20497457713672607
AFE,1980.0,182682545.07048133,48101359.92951877,230783905.0000001,0.20842597290100776
AFE,1981.0,187651430.75037363,50383336.249626406,238034767.00000003,0.2116637703164866
AFE,1982.0,192990363.90644577,52825970.09355431,245816334.0000001,0.21490016238528026
AFE,1983.0,198194513.0712302,55449831.92876975,253644344.99999994,0.2186125297954889
AFE,1984.0,203205023.06855386,58256560.931446075,261461583.99999994,0.22281116805077603
AFE,1985.0,208181675.7254217,61277844.2745783,269459520.0,0.22741020348651367
AFE,1986.0,213113071.643556,64523596.35644393,277636667.99999994,0.2324030064949632
AFE,1987.0,218094545.49429336,67990669.50570664,286085215.0,0.23765880213595322
AFE,1988.0,222963116.03306678,71559315.9669331,294522431.9999999,0.24296728599244058
AFE,1989.0,227770995.71113837,75196799.28886157,302967794.99999994,0.24820063561165498
AFE,1990.0,232889148.47489786,78894257.52510203,311783405.9999999,0.25304187460541777
AFE,1991.0,238096518.62340632,82383593.37659362,320480111.99999994,0.25706304476264547
AFE,1992.0,243443486.88731843,85677302.1126815,329120788.99999994,0.26032175716703665
AFE,1993.0,249207065.57146898,89156112.42853107,338363178.00000006,0.263492360355272
AFE,1994.0,254633774.06576505,92844793.93423493,347478568.0,0.26719574236945437
AFE,1995.0,260174221.27972603,96446340.72027409,356620562.0000001,0.27044526030519256
AFE,1996.0,266285492.42858973,99893885.5714101,366179377.9999998,0.2728004130571497
AFE,1997.0,272286446.3421509,103398132.6578491,375684579.0,0.27522591673332725
AFE,1998.0,278276183.51797,107266134.48202996,385542318.0,0.2782214285541282
AFE,1999.0,284416853.46907043,111366315.53092957,395783169.0,0.28138214116661836
AFE,2000.0,290547665.44060165,115640937.5593983,406188602.99999994,0.28469764219208854
AFE,2001.0,296654969.04428554,120185818.95571437,416840787.9999999,0.2883254768142181
AFE,2002.0,302825233.18107325,125026723.81892677,427851957.0,0.292219590850035
AFE,2003.0,309025784.71736866,130180481.28263122,439206265.9999999,0.2963994172219557
AFE,2004.0,315273686.3389033,135688833.66109666,450962520.0,0.3008871638846986
AFE,2005.0,321686354.2323134,141425650.76768672,463112005.0000001,0.30538109407828173
AFE,2006.0,328247911.3004644,147393855.69953564,475641767.0,0.30988417318602646
AFE,2007.0,335368634.25889313,153248396.7411068,488617030.99999994,0.3136370347702981
AFE,2008.0,342187573.87483054,159919296.12516946,502106870.0,0.31849653067915495
AFE,2009.0,349665999.3096474,166375323.69035268,516041323.00000006,0.3224069784239985
AFE,2010.0,357501239.27853125,172844657.7214688,530345897.00000006,0.32590929561102794
AFE,2011.0,365337404.8570857,179444025.14291432,544781430.0,0.3293871913785944
