ISO3_Code,Category,Year,Pop
BFA,Towns,1951,1048866.0
BWA,Cities,1951,0.0
BWA,Rural,1951,225451.0
BWA,Towns,1951,198105.0
CAF,Cities,1951,94611.0
CAF,Rural,1951,850075.0
CAF,Towns,1951,516565.00000000006
CIV,Cities,1951,132907.0
CIV,Rural,1951,1842380.0
CIV,Towns,1951,834080.0
CMR,Cities,1951,346192.0
CMR,Rural,1951,1796152.0
CMR,Towns,1951,2253008.0
COD,Cities,1951,1392843.0
COD,Rural,1951,6742599.0
COD,Towns,1951,4407202.0
COG,Cities,1951,359298.0
COG,Rural,1951,235000.0
COG,Towns,1951,259336.0
COM,Cities,1951,0.0
COM,Rural,1951,90161.0
COM,Towns,1951,75372.0
CPV,Cities,1951,0.0
CPV,Rural,1951,79159.0
CPV,Towns,1951,108039.0
ERI,Cities,1951,209425.0
ERI,Rural,1951,413653.0
ERI,Towns,1951,203948.0
ETH,Cities,1951,469685.0
ETH,Rural,1951,10910031.0
ETH,Towns,1951,6609345.0
GAB,Cities,1951,0.0
GAB,Rural,1951,145678.0
GAB,Towns,1951,329960.0
GHA,Cities,1951,476666.0
GHA,Rural,1951,2849247.0
GHA,Towns,1951,1903210.0
GIN,Cities,1951,81825.0
GIN,Rural,1951,2021286.0
GIN,Towns,1951,958862.0
GMB,Cities,1951,0.0
GMB,Rural,1951,215050.0
GMB,Towns,1951,99441.0
GNB,Cities,1951,0.0
GNB,Rural,1951,313585.0
GNB,Towns,1951,236152.0
GNQ,Cities,1951,0.0
GNQ,Rural,1951,98414.0
GNQ,Towns,1951,132201.0
KEN,Cities,1951,198155.0
KEN,Rural,1951,4516289.0
KEN,Towns,1951,1179131.0
LBR,Cities,1951,0.0
LBR,Rural,1951,576697.0
LBR,Towns,1951,359711.0
LSO,Cities,1951,0.0
LSO,Rural,1951,509252.0
LSO,Towns,1951,81017.0
MDG,Cities,1951,108260.0
MDG,Rural,1951,3527725.0
MDG,Towns,1951,421215.0
MLI,Cities,1951,122540.0
MLI,Rural,1951,3382423.0
MLI,Towns,1951,1261738.0
MOZ,Cities,1951,206044.0
MOZ,Rural,1951,3827432.0
MOZ,Towns,1951,1944679.0
MRT,Cities,1951,0.0
MRT,Rural,1951,540786.0
MRT,Towns,1951,130098.00000000001
MUS,Cities,1951,180915.0
MUS,Rural,1951,111108.0
MUS,Towns,1951,249147.0
MWI,Cities,1951,0.0
MWI,Rural,1951,2777192.0
MWI,Towns,1951,225693.0
NAM,Cities,1951,0.0
NAM,Rural,1951,415991.0
NAM,Towns,1951,104400.0
NER,Cities,1951,0.0
NER,Rural,1951,1938357.0
NER,Towns,1951,746397.0
NGA,Cities,1951,3884409.0
NGA,Rural,1951,13168762.0
NGA,Towns,1951,20940906.0
RWA,Cities,1951,0.0
RWA,Rural,1951,1288098.0
RWA,Towns,1951,947933.0
SDN,Cities,1951,343820.0
SDN,Rural,1951,3485917.0
SDN,Towns,1951,2546323.0
SEN,Cities,1951,481017.0
SEN,Rural,1951,1232097.0
SEN,Towns,1951,906528.0
SLE,Cities,1951,123621.0
SLE,Rural,1951,1041430.0000000001
SLE,Towns,1951,858225.0
SOM,Cities,1951,242182.0
SOM,Rural,1951,1122340.0
SOM,Towns,1951,912157.0
SSA,Cities,1951,12941588.0
SSA,Rural,1951,106651958.0
SSA,Towns,1951,67737636.0
SSD,Cities,1951,74623.0
SSD,Rural,1951,2172583.0
SSD,Towns,1951,282414.0
STP,Cities,1951,0.0
STP,Rural,1951,13306.0
STP,Towns,1951,48455.0
SWZ,Cities,1951,0.0
SWZ,Rural,1951,249038.0
SWZ,Towns,1951,29566.0
SYC,Cities,1951,0.0
SYC,Rural,1951,13364.0
SYC,Towns,1951,25319.0
TCD,Cities,1951,71017.0
TCD,Rural,1951,1605215.0
TCD,Towns,1951,894174.0
TGO,Cities,1951,11632.0
TGO,Rural,1951,768650.0
TGO,Towns,1951,644116.0
TZA,Cities,1951,62256.0
TZA,Rural,1951,6637083.0
TZA,Towns,1951,1113636.0
UGA,Cities,1951,182785.0
UGA,Rural,1951,5030727.0
UGA,Towns,1951,697651.0
ZAF,Cities,1951,1797295.0
ZAF,Rural,1951,6791773.0
ZAF,Towns,1951,4719952.0
ZMB,Cities,1951,0.0
ZMB,Rural,1951,1310988.0
ZMB,Towns,1951,1082314.0
ZWE,Cities,1951,257685.99999999997
ZWE,Rural,1951,2203664.0
ZWE,Towns,1951,419543.0
AFE,Cities,1952,7022068.0
AFE,Rural,1952,68913795.0
AFE,Towns,1952,31938098.0
AFW,Cities,1952,6799072.0
AFW,Rural,1952,39451560.0
AFW,Towns,1952,37096528.0
AGO,Cities,1952,923700.0
AGO,Rural,1952,1905844.0
AGO,Towns,1952,1822144.0
BDI,Cities,1952,0.0
BDI,Rural,1952,1511609.0
BDI,Towns,1952,844195.0
BEN,Cities,1952,159736.0
BEN,Rural,1952,996537.0
BEN,Towns,1952,1129502.0
BFA,Cities,1952,20901.0
BFA,Rural,1952,3236503.0
BFA,Towns,1952,1052947.0
BWA,Cities,1952,0.0
BWA,Rural,1952,229453.0
BWA,Towns,1952,204258.0
CAF,Cities,1952,102915.0
CAF,Rural,1952,860092.0
CAF,Towns,1952,521817.0
CIV,Cities,1952,147429.0
CIV,Rural,1952,1879318.0
CIV,Towns,1952,858965.0
CMR,Cities,1952,380518.0
CMR,Rural,1952,1817953.0
CMR,Towns,1952,2266245.0
COD,Cities,1952,1500840.0
COD,Rural,1952,6837466.0
COD,Towns,1952,4465334.0
COG,Cities,1952,369068.0
COG,Rural,1952,236545.0
COG,Towns,1952,267069.0
COM,Cities,1952,0.0
COM,Rural,1952,90966.0
COM,Towns,1952,78010.0
CPV,Cities,1952,0.0
CPV,Rural,1952,79792.0
CPV,Towns,1952,109640.0
ERI,Cities,1952,216399.0
ERI,Rural,1952,417739.0
ERI,Towns,1952,206201.0
ETH,Cities,1952,515174.0
ETH,Rural,1952,11064400.0
ETH,Towns,1952,6746599.0
GAB,Cities,1952,0.0
GAB,Rural,1952,147263.0
GAB,Towns,1952,331325.0
GHA,Cities,1952,508690.0
GHA,Rural,1952,2905265.0
GHA,Towns,1952,1973542.0
GIN,Cities,1952,90272.0
GIN,Rural,1952,2048931.0
GIN,Towns,1952,972478.0
GMB,Cities,1952,0.0
GMB,Rural,1952,219249.0
GMB,Towns,1952,103389.0
GNB,Cities,1952,0.0
GNB,Rural,1952,316389.0
GNB,Towns,1952,237523.0
GNQ,Cities,1952,0.0
GNQ,Rural,1952,100872.0
GNQ,Towns,1952,133812.0
KEN,Cities,1952,208324.0
KEN,Rural,1952,4597227.0
KEN,Towns,1952,1227743.0
LBR,Cities,1952,0.0
LBR,Rural,1952,587908.0
LBR,Towns,1952,367068.0
LSO,Cities,1952,0.0
LSO,Rural,1952,518259.0
LSO,Towns,1952,83688.0
MDG,Cities,1952,111317.0
MDG,Rural,1952,3607608.0
MDG,Towns,1952,441910.0
MLI,Cities,1952,127148.0
MLI,Rural,1952,3428280.0
MLI,Towns,1952,1280935.0
MOZ,Cities,1952,223875.0
MOZ,Rural,1952,3873854.0
MOZ,Towns,1952,1953030.0
MRT,Cities,1952,0.0
MRT,Rural,1952,551004.0
MRT,Towns,1952,133800.0
MUS,Cities,1952,189292.0
MUS,Rural,1952,111805.0
MUS,Towns,1952,256079.99999999997
MWI,Cities,1952,0.0
MWI,Rural,1952,2822913.0
MWI,Towns,1952,236465.0
NAM,Cities,1952,0.0
NAM,Rural,1952,420992.0
NAM,Towns,1952,105642.0
NER,Cities,1952,0.0
NER,Rural,1952,1989167.0
NER,Towns,1952,782721.0
NGA,Cities,1952,4146899.0000000005
NGA,Rural,1952,13337621.0
NGA,Towns,1952,21231682.0
RWA,Cities,1952,0.0
RWA,Rural,1952,1312315.0
RWA,Towns,1952,1004195.0
SDN,Cities,1952,405618.0
SDN,Rural,1952,3549901.0
SDN,Towns,1952,2613090.0
SEN,Cities,1952,510477.0
SEN,Rural,1952,1250888.0
SEN,Towns,1952,925634.0
SLE,Cities,1952,126562.0
SLE,Rural,1952,1053338.0
SLE,Towns,1952,867301.0
SOM,Cities,1952,275151.0
SOM,Rural,1952,1139479.0
SOM,Towns,1952,925619.0
SSA,Cities,1952,13821140.0
SSA,Rural,1952,108365355.0
SSA,Towns,1952,69034626.0
SSD,Cities,1952,77687.0
SSD,Rural,1952,2197969.0
SSD,Towns,1952,293553.0
STP,Cities,1952,0.0
STP,Rural,1952,13578.0
STP,Towns,1952,49015.0
SWZ,Cities,1952,0.0
SWZ,Rural,1952,254748.0
SWZ,Towns,1952,30882.0
SYC,Cities,1952,0.0
SYC,Rural,1952,13439.0
SYC,Towns,1952,25550.0
TCD,Cities,1952,85202.0
TCD,Rural,1952,1629458.0
TCD,Towns,1952,901651.0
TGO,Cities,1952,23255.0
TGO,Rural,1952,779187.0
TGO,Towns,1952,647482.0
TZA,Cities,1952,66209.0
TZA,Rural,1952,6782044.0
TZA,Towns,1952,1160826.0
UGA,Cities,1952,189143.0
UGA,Rural,1952,5145482.0
UGA,Towns,1952,742416.0
ZAF,Cities,1952,1850616.0
ZAF,Rural,1952,6884710.0
ZAF,Towns,1952,4860217.0
ZMB,Cities,1952,0.0
ZMB,Rural,1952,1346786.0
ZMB,Towns,1952,1120465.0
ZWE,Cities,1952,268723.0
ZWE,Rural,1952,2263209.0
ZWE,Towns,1952,440971.0
AFE,Cities,1953,7450987.0
AFE,Rural,1953,70117253.0
AFE,Towns,1953,32713320.0
AFW,Cities,1953,7256465.0
AFW,Rural,1953,40029540.0
AFW,Towns,1953,37649603.0
AGO,Cities,1953,976897.0
AGO,Rural,1953,1927686.0
AGO,Towns,1953,1801776.0
BDI,Cities,1953,0.0
BDI,Rural,1953,1531014.0
BDI,Towns,1953,874172.0
