 ISO3_Code , Category , Year , Pop , Pop_Rel 
 MDG , Rural ," 1,950 "," 3,647,105 ", 1 
 MDG , Urban ," 1,950 "," 308,969 ", 0 
 MLI , Rural ," 1,950 "," 4,487,549 ", 1 
 MLI , Urban ," 1,950 "," 209,362 ", 0 
 MOZ , Rural ," 1,950 "," 5,770,622 ", 1 
 MOZ , Urban ," 1,950 "," 139,603 ", 0 
 MRT , Rural ," 1,950 "," 640,533 ", 1 
 MRT , Urban ," 1,950 "," 17,182 ", 0 
 MUS , Rural ," 1,950 "," 349,171 ", 1 
 MUS , Urban ," 1,950 "," 176,387 ", 0 
 MWI , Rural ," 1,950 "," 2,846,101 ", 1 
 MWI , Urban ," 1,950 "," 104,199 ", 0 
 NAM , Rural ," 1,950 "," 434,582 ", 1 
 NAM , Urban ," 1,950 "," 80,009 ", 0 
 NER , Rural ," 1,950 "," 2,464,349 ", 1 
 NER , Urban ," 1,950 "," 133,461 ", 0 
 NGA , Rural ," 1,950 "," 33,510,405 ", 1 
 NGA , Urban ," 1,950 "," 3,772,605 ", 0 
 RWA , Rural ," 1,950 "," 2,118,700 ", 1 
 RWA , Urban ," 1,950 "," 38,396 ", 0 
 SDN , Rural ," 1,950 "," 5,799,327 ", 1 
 SDN , Urban ," 1,950 "," 390,583 ", 0 
 SEN , Rural ," 1,950 "," 2,002,132 ", 1 
 SEN , Urban ," 1,950 "," 553,237 ", 0 
 SLE , Rural ," 1,950 "," 1,751,033 ", 1 
 SLE , Urban ," 1,950 "," 248,590 ", 0 
 SOM , Rural ," 1,950 "," 1,928,677 ", 1 
 SOM , Urban ," 1,950 "," 284,454 ", 0 
 SSA , Rural ," 1,950 "," 163,226,820 ", 1 
 SSA , Urban ," 1,950 "," 20,356,856 ", 0 
 SSD , Rural ," 1,950 "," 2,331,566 ", 1 
 SSD , Urban ," 1,950 "," 161,717 ", 0 
 STP , Rural ," 1,950 "," 52,787 ", 1 
 STP , Urban ," 1,950 "," 8,087 ", 0 
 SWZ , Rural ," 1,950 "," 268,165 ", 1 
 SWZ , Urban ," 1,950 "," 3,490 ", 0 
