iso3cd,hazard,sector,subsector,climate_scenario,risk_metric_abbr,Loss,RP,pop,cap_stock_capita,gdp_capita,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,11395.9,250,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,10500.4,500,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Roads,Existing climate,AAL,9469.8,,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,PML,5875.9,10,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,5840.3,250,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,5203.2,100,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,AAL,4011.6,,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Tunnels,Existing climate,PML,3335.6,5000,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,2865.7,50,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,2674.9,100,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Tunnels,Existing climate,PML,1852,2500,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,1570.9,25,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,1474.9,50,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Tunnels,Existing climate,PML,849.6,1000,15854331.96,4529.61993615351,1359.219285,
