iso3cd,hazard,sector,subsector,climate_scenario,risk_metric_abbr,Loss,RP,pop,cap_stock_capita,gdp_capita,
SEN,Tsunami,Roads and Railways,Roads,Existing climate,PML,102833.5,100,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,PML,95411.5,250,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,80801.4,2500,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,70061.5,5000,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Roads,Existing climate,PML,56633.3,50,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,PML,43559.1,100,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,40096.7,2500,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,37111.9,1000,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Roads,Existing climate,PML,31045.8,25,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,PML,23989.8,50,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Bridges,Existing climate,PML,20576.8,500,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tunnels,Existing climate,PML,18792.1,1000,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Roads,Existing climate,PML,13871,10,15854331.96,4529.61993615351,1359.219285,
SEN,Tsunami,Roads and Railways,Railway Tracks,Existing climate,PML,13151.6,25,15854331.96,4529.61993615351,1359.219285,
