iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,CAP_Stock,GDP
BFA,Combined,all_assets,"92,687,309",250,0,"11,068,730",7434177.5,0,"38,348,520,206","14,200,363,296"
BFA,Combined,all_assets,"100,985,483",500,0,"11,068,730",7434177.5,0,"38,348,520,206","14,200,363,296"
BFA,Combined,all_assets,"114,148,379",1000,0,"11,068,730",7434177.5,0,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"1,464,458",10,843943.6,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"2,928,869",25,1687859.7,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"5,857,546",50,3375609.1,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"10,250,203",100,5907026.5,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"26,352,930",250,15186768.1,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"51,227,586",500,29521630.8,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Earthquake,all_assets,"84,859,563",1000,48903196,"702,178",404653.9,1.7352559804811,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"27,371,311",10,18560393,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"54,722,963",25,37107454.8,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"75,844,878",50,51430153.6,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"84,538,731",100,57325425.8,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"89,505,756",250,60693548.2,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"93,230,599",500,63219351.5,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BFA,Flood,all_assets,"98,196,489",1000,66586704.5,"10,366,552",7029523.6,1.4747161528841,"38,348,520,206","14,200,363,296"
BWA,Combined,all_assets,"184,917,512",10,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"335,798,243",25,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"427,329,197",50,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"483,944,741",100,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"709,316,197",250,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"1,106,978,919",500,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Combined,all_assets,"1,466,877,579",1000,0,"69,223,842",41427577.1,0,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"24,094,469",10,15265639.4,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"60,790,774",25,38515480.4,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"121,518,413",50,76990959.9,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"242,784,677",100,153822165.5,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"605,078,409",250,383362212.7,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"1,036,197,790",500,656508432.2,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Earthquake,all_assets,"1,370,058,600",1000,868034107.3,"15,390,133",9750794.8,1.57834650566126,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"134,542,919",10,79167622.4,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"274,950,436",25,161786085.7,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"381,892,939",50,224713096.3,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
BWA,Flood,all_assets,"427,319,107",100,251442721,"53,833,709",31676782.3,1.69946898931082,"64,357,955,438","16,170,958,745"
