iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,GDP
AGO,Earthquake,all_assets,26928554.014172457,10.0,11230213.6,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,65394633.04751897,25.0,27272006.4,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,132700976.26581755,50.0,55341267.4,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,265355984.70970356,100.0,110663364.5,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,663045442.4168583,250.0,276514733.8,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,1236757077.7683024,500.0,515773930.8,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,1836410747.8907623,1000.0,765851926.0,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,3084423051.5228515,2500.0,1286319706.7,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Earthquake,all_assets,4552719128.059092,5000.0,1898654054.8,16838212.7,7022164.1,2.397866592152126,79450688259.36636
AGO,Flood,all_assets,142077463.41071978,10.0,95431655.6,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,291227113.85797006,25.0,195613610.8,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,404518282.12025285,50.0,271709871.9,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,449819629.6856081,100.0,302138220.6,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,477234670.6334888,250.0,320552560.8,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,499879492.51327264,500.0,335762804.5,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,528480392.8154618,1000.0,354973671.6,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,573758110.1954993,2500.0,385386148.2,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
AGO,Flood,all_assets,615453636.5786134,5000.0,413392511.9,55046725.5,36974197.199999996,1.488787578057273,79450688259.36636
BDI,Earthquake,all_assets,31090427.721325472,10.0,15128963.8,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,77474347.82415713,25.0,37699918.9,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,154116831.03049728,50.0,74995042.8,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,303466668.5422942,100.0,147670411.1,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,736047271.8046896,250.0,358169164.8,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,1318574964.0220664,500.0,641633916.3,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,1865112600.0691347,1000.0,907585487.8,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,2856374181.216089,2500.0,1389944904.4,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Earthquake,all_assets,3834022160.1542883,5000.0,1865679783.8,13160566.8,6404084.9,2.0550269094652385,2667182199.51333
BDI,Flood,all_assets,11576706.436186623,10.0,5302603.1,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,23135848.277298983,25.0,10597160.9,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,31381646.58548412,50.0,14374072.4,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,36324839.707022764,100.0,16638256.2,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,37971857.20109776,250.0,17392657.3,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,37971857.20109776,500.0,17392657.3,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,39618518.176661864,1000.0,18146895.1,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,42910770.57225741,2500.0,19654880.8,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BDI,Flood,all_assets,44556362.42893124,5000.0,20408628.9,2950297.0,1351356.2000000002,2.1832119466355353,2667182199.51333
BEN,Earthquake,all_assets,5097692.995239654,10.0,2392986.3,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,13592805.64904306,25.0,6380807.5,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,27182276.156487796,50.0,12760049.4,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,54351217.28526916,100.0,25513839.0,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,134082954.80026865,250.0,62941937.5,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,254311274.67246336,500.0,119380158.2,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,406338399.6481623,1000.0,190745544.0,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,752742488.7242467,2500.0,353356403.5,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Earthquake,all_assets,1196837665.9663253,5000.0,561825935.9,3320245.3000000003,1558607.3,2.1302641787960317,14262408089.926104
BEN,Flood,all_assets,104597071.99114709,10.0,56575004.1,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,213371818.21684572,25.0,115409650.2,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,296989939.17918885,50.0,160637451.0,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,329224626.99199593,100.0,178072715.3,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,348262208.62086064,250.0,188369860.7,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,364365024.0273718,500.0,197079634.6,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,383388646.50086015,1000.0,207369229.7,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,412641007.71830696,2500.0,223191397.8,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BEN,Flood,all_assets,440414203.1940626,5000.0,238213507.1,38582972.9,20868957.5,1.8488212887490905,14262408089.926104
BFA,Flood,all_assets,27371311.360977013,10.0,18560393.0,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,54722962.98597669,25.0,37107454.8,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,75844878.25923043,50.0,51430153.6,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,84538731.39821902,100.0,57325425.8,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,89505755.9063898,250.0,60693548.2,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,93230598.83190776,500.0,63219351.5,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,98196488.69347051,1000.0,66586704.5,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,105644108.61464787,2500.0,71636910.2,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BFA,Flood,all_assets,113090270.63143648,5000.0,76686127.3,10366552.0,7029523.6,1.4747161528841017,15890066221.288244
BWA,Earthquake,all_assets,24094468.603674877,10.0,15265639.4,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,60790773.903204806,25.0,38515480.4,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,121518412.52567132,50.0,76990959.9,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,242784677.41017327,100.0,153822165.5,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,605078408.8176143,250.0,383362212.7,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,1036197789.9000233,500.0,656508432.2,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,1370058600.0517476,1000.0,868034107.3,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,1962195105.265594,2500.0,1243196660.7,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Earthquake,all_assets,2559278641.977135,5000.0,1621493526.8,15390132.9,9750794.8,1.5783465056612616,17031943186.13526
BWA,Flood,all_assets,134542919.22626898,10.0,79167622.4,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,274950435.54913336,25.0,161786085.7,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,381892938.6538669,50.0,224713096.3,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,427319106.92743355,100.0,251442721.0,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,455540437.9798594,250.0,268048691.0,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,481296662.7515736,500.0,283204145.4,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,513170682.04661864,1000.0,301959426.9,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,565849891.9977915,2500.0,332956879.8,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
BWA,Flood,all_assets,616037726.1263506,5000.0,362488359.6,53833709.2,31676782.3,1.6994689893108241,17031943186.13526
CAF,Earthquake,all_assets,3938352.4110202882,10.0,2778161.8,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,10499307.643095171,25.0,7406339.6,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,19678423.328990884,50.0,13881399.7,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,39323551.2311,100.0,27739312.4,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,99361881.85388175,250.0,70091082.7,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,183670852.59046075,500.0,129563658.4,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,269933408.36450243,1000.0,190414316.8,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,448116245.077389,2500.0,316106661.9,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Earthquake,all_assets,652120405.1998982,5000.0,460013683.3,2343956.8,1653455.7,1.4176108860975227,2220979146.1124053
CAF,Flood,all_assets,56015881.24362285,10.0,40652226.2,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
CAF,Flood,all_assets,113018240.45771183,25.0,82020365.9,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
CAF,Flood,all_assets,157154426.0509113,50.0,114051178.6,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
CAF,Flood,all_assets,173503752.97789767,100.0,125916323.3,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
CAF,Flood,all_assets,182297369.8140477,250.0,132298086.7,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
CAF,Flood,all_assets,191084090.52895012,500.0,138674845.4,20135148.4,14612616.799999999,1.3779289962630101,2220979146.1124053
