ISO_A3,WB_NAME,surface_area_km2,worldpop_pop_2015,worldpop_pop_2020,worldpop_pop_cagr_2015_2020,pop_ftm3_all_flood_rp10_2015,pop_ftm3_all_flood_rp10_2020,pop_ftm3_all_flood_rp100_2015,pop_ftm3_all_flood_rp100_2020,pop_ftm3_fluvial_pluvial_flood_rp10_2015,pop_ftm3_fluvial_pluvial_flood_rp10_2020,pop_ftm3_fluvial_pluvial_flood_rp100_2015,pop_ftm3_fluvial_pluvial_flood_rp100_2020,pop_ftm3_coastal_flood_rp10_2015,pop_ftm3_coastal_flood_rp10_2020,pop_ftm3_coastal_flood_rp100_2015,pop_ftm3_coastal_flood_rp100_2020,pop_ftm3_all_flood_rp10_cagr_2015_2020,pop_ftm3_all_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_coastal_flood_rp10_cagr_2015_2020,pop_ftm3_coastal_flood_rp100_cagr_2015_2020
NER,Niger,1310700.07,19570186,23327606,0.03575024247444469,278789.0,331220.0,1705510.0,2024049.0,278789,331220,1705510,2024049,0.0,0.0,0.0,0.0,0.0,0.0,0.03506633533220338,0.03484034095911426,0.0,0.0
NGA,Nigeria,941845.05,188318080,211741280,0.023723571840331914,2348348.0,2621889.0,13631380.0,15251551.0,2098580,2338755,13338163,14919505,254102.0,288085.0,424399.0,479805.0,0.02228118867086093,0.022715498280690083,0.02190809609299227,0.022660963933021527,0.025421720751295895,0.02484475663498631
RWA,Rwanda,25481.38,11501389,12920615,0.023544145849956344,82728.0,92264.0,376916.0,421158.0,82728,92264,376916,421158,0.0,0.0,0.0,0.0,0.0,0.0,0.022058962134449578,0.022445331364716825,0.0,0.0
SDN,Sudan,2046598.98,39418436,46174176,0.03214319370614005,743285.0,864111.0,5004702.0,5828478.0,738526,859246,4999640,5823296,4758.0,4864.0,5092.0,5206.0,0.03058266482801697,0.03094474134604175,0.03074288570988104,0.030969996161374524,0.00441647054269434,0.004438044252890183
SEN,Senegal,211117.26,14372647,16571852,0.028885051245578053,175828.0,203521.0,913038.0,1057970.0,131765,154270,889470,1032107,45080.0,50378.0,47077.0,52629.0,0.02968464950957972,0.02990436784033168,0.03203941196438165,0.030193211491934546,0.02247195075528463,0.02254697368695968
SLE,Sierra Leone,74734.95,6956704,7821405,0.02370836003078658,231364.0,257205.0,605502.0,678033.0,207216,230856,588065,658918,26298.0,28685.0,27002.0,29459.0,0.0214020485724824,0.022885565116090634,0.021841592697321888,0.023013130279061933,0.01752813542720122,0.01757027853065618
SOM,Somalia,647355.11,13574748,16331889,0.037673984503018954,351856.0,413351.0,1757648.0,2114734.0,324957,381358,1737116,2090485,27284.0,32450.0,29405.0,34862.0,0.03273954314747862,0.03768315960184587,0.03252694268427936,0.03772826764213333,0.03528836213552666,0.034632753873746314
SSD,South Sudan,643198.4,11113213,10560796,-0.010145405919957717,513744.0,486534.0,1866939.0,1769119.0,513744,486534,1866939,1769119,0.0,0.0,0.0,0.0,0.0,0.0,-0.010824647412083221,-0.01070598039242776,0.0,0.0
STP,São Tomé and Príncipe,1009.12,198557,214999,0.01603869379909817,3040.0,3291.0,8508.0,9188.0,2455,2647,8263,8918,689.0,760.0,690.0,761.0,0.015993336842210937,0.015497131683142484,0.015174006118164662,0.01537377678686802,0.019809079130565843,0.019781462667460392
SWZ,eSwatini,21818.42,1139489,1185399,0.00793118865398057,9370.0,9755.0,24374.0,25374.0,9370,9755,24374,25374,0.0,0.0,0.0,0.0,0.008085891222266106,0.008074028034951608,0.008085891222266106,0.008074028034951608,0.0,0.0
SYC,Seychelles,502.28,105933,118958,0.02346377697898805,2297.0,2585.0,6521.0,7338.0,2202,2478,6425,7230,99.0,111.0,106.0,120.0,0.02390558155218958,0.023888585529943773,0.023898242357012656,0.02388936734440561,0.023145873080461676,0.02512087219852699
TCD,Chad,1380442.21,14433058,16935740,0.03249786945713096,179218.0,203455.0,1472024.0,1707792.0,179218,203455,1472024,1707792,0.0,0.0,0.0,0.0,0.0,0.0,0.025692897385954705,0.030158420488317406,0.0,0.0
TGO,Togo,58928.38,7566795,8565877,0.025113547797193325,35825.0,39279.0,285117.0,318812.0,35755,39195,285019,318696,71.0,84.0,98.0,117.0,0.018579296932679457,0.022591808332222074,0.018541613646890998,0.022587689468032357,0.03419917613635404,0.03607681954206776
TZA,Tanzania,960259.31,51123580,60051336,0.03271451966018657,351057.0,406980.0,2085641.0,2434452.0,339653,393619,2076101,2423159,11892.0,13900.0,12439.0,14540.0,0.030004414493547404,0.0314123613294397,0.029930975203168675,0.03139895462836462,0.03169655399978888,0.03170559972305931
UGA,Uganda,243328.78,36950212,43736848,0.03429901091953824,166146.0,193848.0,996814.0,1165800.0,166146,193848,996814,1165800,0.0,0.0,0.0,0.0,0.0,0.0,0.03132201131807366,0.031815349912018176,0.0,0.0
ZAF,South Africa,1605570.65,56068272,60079120,0.013914369962228834,238810.0,255295.0,1569183.0,1677650.0,237145,253504,1564770,1672905,1724.0,1855.0,5202.0,5588.0,0.013439809620084286,0.013457528823567433,0.013430962539053404,0.01345426244340775,0.014755305153971054,0.014418614586105383
ZMB,Zambia,799618.54,16145420,18787074,0.030770450082729273,184090.0,211686.0,715429.0,825797.0,184090,211686,715429,825797,0.0,0.0,0.0,0.0,0.0,0.0,0.028329720338118758,0.029108942617149136,0.0,0.0
ZWE,Zimbabwe,439707.79,14302032,15394218,0.01482691601617292,78482.0,83620.0,347085.0,371209.0,78482,83620,347085,371209,0.0,0.0,0.0,0.0,0.0,0.0,0.012763451696714778,0.013529818629443913,0.0,0.0
