ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
AGO,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,4.4569583,0.60986066,0.029866834
AGO,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,41.51193,4.4629936,0.023008967
AGO,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1.6507218,0.21549141,0.028372492
AGO,2020,built_s,COASTAL_DEFENDED,1in10,2020,3.4020355,0.19594789,0.011935165
AGO,2020,built_s,COASTAL_DEFENDED,1in100,2020,3.609273,0.2085123,0.011972542
AGO,2020,built_s,COASTAL_DEFENDED,1in5,2020,2.8801532,0.16269922,0.011697499
AGO,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,5.682278,1.2253199,0.049776341
AGO,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,48.735043,7.223114,0.032603735
AGO,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,2.1354513,0.48472953,0.052841901
BEN,1975,built_s,COASTAL_DEFENDED,1in10,2020,0.136774609,,
BEN,1975,built_s,COASTAL_DEFENDED,1in100,2020,0.144466563,,
BEN,1975,built_s,COASTAL_DEFENDED,1in5,2020,0.128225875,,
BEN,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.363805063,,
BEN,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,4.1224525,,
BEN,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.138675375,,
BEN,1980,built_s,COASTAL_DEFENDED,1in10,2020,0.190182641,0.053408031,0.068152049
BEN,1980,built_s,COASTAL_DEFENDED,1in100,2020,0.201043516,0.056576953,0.06832784
BEN,1980,built_s,COASTAL_DEFENDED,1in5,2020,0.17788,0.049654125,0.067653406
BEN,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.487634563,0.1238295,0.060340008
BEN,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,5.260726,1.1382735,0.049972693
BEN,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.188839828,0.050164453,0.063699241
BEN,1985,built_s,COASTAL_DEFENDED,1in10,2020,0.254647547,0.064464906,0.060116819
BEN,1985,built_s,COASTAL_DEFENDED,1in100,2020,0.2690435,0.067999984,0.060001517
BEN,1985,built_s,COASTAL_DEFENDED,1in5,2020,0.238372359,0.060492359,0.06029266
BEN,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.654811438,0.167176875,0.060728787
BEN,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,6.799083,1.538357,0.052642577
BEN,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.253041391,0.064201562,0.060277618
BEN,1990,built_s,COASTAL_DEFENDED,1in10,2020,0.3243365,0.069688953,0.049569655
BEN,1990,built_s,COASTAL_DEFENDED,1in100,2020,0.342585813,0.073542312,0.049516749
BEN,1990,built_s,COASTAL_DEFENDED,1in5,2020,0.303669625,0.065297266,0.049612736
BEN,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.862263125,0.207451687,0.056585658
BEN,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,8.657864,1.858781,0.049523297
BEN,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.329180031,0.076138641,0.054018863
BEN,1995,built_s,COASTAL_DEFENDED,1in10,2020,0.426811688,0.102475187,0.056447928
BEN,1995,built_s,COASTAL_DEFENDED,1in100,2020,0.449124281,0.106538469,0.055648737
BEN,1995,built_s,COASTAL_DEFENDED,1in5,2020,0.403047594,0.099377969,0.058256625
BEN,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.942821438,0.080558313,0.01802379
BEN,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,9.621494,0.96363,0.021330616
BEN,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.353916531,0.0247365,0.014596765
BEN,2000,built_s,COASTAL_DEFENDED,1in10,2020,0.571817188,0.1450055,0.060239989
BEN,2000,built_s,COASTAL_DEFENDED,1in100,2020,0.59947875,0.150354469,0.059452406
BEN,2000,built_s,COASTAL_DEFENDED,1in5,2020,0.543451875,0.140404281,0.061600102
BEN,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.051289125,0.108467688,0.022018
BEN,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,10.84856,1.227066,0.024297037
BEN,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.384538719,0.030622188,0.016735167
BEN,2005,built_s,COASTAL_DEFENDED,1in10,2020,0.672978125,0.101160937,0.033115194
BEN,2005,built_s,COASTAL_DEFENDED,1in100,2020,0.7046565,0.10517775,0.032858276
BEN,2005,built_s,COASTAL_DEFENDED,1in5,2020,0.641406,0.097954125,0.033699688
BEN,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.26876025,0.217471125,0.038320619
BEN,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,12.892599,2.044039,0.035127093
BEN,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.450351781,0.065813063,0.032101388
BEN,2010,built_s,COASTAL_DEFENDED,1in10,2020,0.79073725,0.117759125,0.032776269
BEN,2010,built_s,COASTAL_DEFENDED,1in100,2020,0.827284063,0.122627562,0.03260789
BEN,2010,built_s,COASTAL_DEFENDED,1in5,2020,0.755204813,0.113798813,0.033204636
BEN,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.583671,0.31491075,0.045338823
BEN,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,15.731236,2.838637,0.040601564
BEN,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.542054063,0.091702281,0.037762908
BEN,2015,built_s,COASTAL_DEFENDED,1in10,2020,0.908234938,0.117497688,0.028094892
BEN,2015,built_s,COASTAL_DEFENDED,1in100,2020,0.948922875,0.121638813,0.02781571
BEN,2015,built_s,COASTAL_DEFENDED,1in5,2020,0.869097688,0.113892875,0.028491648
BEN,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.94431825,0.36064725,0.041886661
BEN,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,18.812072,3.080836,0.036417547
BEN,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.6454135,0.103359437,0.035521424
BEN,2020,built_s,COASTAL_DEFENDED,1in10,2020,0.92106025,0.012825313,0.002808409
BEN,2020,built_s,COASTAL_DEFENDED,1in100,2020,0.962981875,0.014059,0.002945743
BEN,2020,built_s,COASTAL_DEFENDED,1in5,2020,0.881174813,0.012077125,0.002763912
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.1845055,0.24018725,0.023569079
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,20.438522,1.62645,0.016722819
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.716183375,0.070769875,0.021027027
BWA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.27408132,,
BWA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,2.837181,,
BWA,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.1258173,,
BWA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.35053355,0.076452225,0.05043705
BWA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,3.6658764,0.8286953,0.052587355
BWA,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.15591612,0.030098826,0.043830868
BWA,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.4620495,0.11151597,0.056797515
