ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
AGO,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,108227.09,16418.781,0.0334531661173556
AGO,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,1146390.2,211560.12,0.0416455279754097
AGO,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,39897.88,4280.285,0.0229562169349204
AGO,2020,pop,COASTAL_DEFENDED,1in10,2020,94363.61,20471.828,0.0501266469214825
AGO,2020,pop,COASTAL_DEFENDED,1in100,2020,100077.28,21511.445,0.0495916224740577
AGO,2020,pop,COASTAL_DEFENDED,1in5,2020,77506.61,15988.223,0.0472895289380286
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,130169.51,21942.414,0.0376112159059816
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,1316138.1,169747.88,0.0280016182365439
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,47456.688,7558.8086,0.0353078776384676
BEN,1975,pop,COASTAL_DEFENDED,1in10,2020,869.2579345703125,,
BEN,1975,pop,COASTAL_DEFENDED,1in100,2020,929.5855712890624,,
BEN,1975,pop,COASTAL_DEFENDED,1in5,2020,792.2481689453125,,
BEN,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,6445.19384765625,,
BEN,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,61809.703125,,
BEN,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,2623.860107421875,,
BEN,1980,pop,COASTAL_DEFENDED,1in10,2020,1300.9107666015625,431.65283203125,0.0839762549899649
BEN,1980,pop,COASTAL_DEFENDED,1in100,2020,1378.8294677734375,449.243896484375,0.0820422939945282
BEN,1980,pop,COASTAL_DEFENDED,1in5,2020,1197.09033203125,404.8421630859375,0.086058292212098
BEN,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,7549.05224609375,1103.8583984375,0.0321226040547757
BEN,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,74350.8984375,12541.1953125,0.0376381067656297
BEN,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,3160.16748046875,536.307373046875,0.0378961108832338
BEN,1985,pop,COASTAL_DEFENDED,1in10,2020,1948.567138671875,647.6563720703125,0.0841604824353496
BEN,1985,pop,COASTAL_DEFENDED,1in100,2020,2053.396484375,674.5670166015625,0.082910217869244
BEN,1985,pop,COASTAL_DEFENDED,1in5,2020,1807.9295654296875,610.8392333984375,0.0859527181952748
BEN,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,9278.9521484375,1729.89990234375,0.0421285664867112
BEN,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,91730.1015625,17379.203125,0.0429059151909083
BEN,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,3864.177001953125,704.009521484375,0.0410447116505745
BEN,1990,pop,COASTAL_DEFENDED,1in10,2020,2727.58203125,779.014892578125,0.0695780687330049
BEN,1990,pop,COASTAL_DEFENDED,1in100,2020,2857.412353515625,804.015869140625,0.0683167083748372
BEN,1990,pop,COASTAL_DEFENDED,1in5,2020,2550.57958984375,742.6500244140625,0.071251577907869
BEN,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,11441.6416015625,2162.689453125,0.0427924567306292
BEN,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,113576.59375,21846.4921875,0.0436512390982399
BEN,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,4719.53955078125,855.362548828125,0.0408029720497555
BEN,1995,pop,COASTAL_DEFENDED,1in10,2020,3983.251708984375,1255.669677734375,0.0786784094192794
BEN,1995,pop,COASTAL_DEFENDED,1in100,2020,4167.26806640625,1309.855712890625,0.078389632636131
BEN,1995,pop,COASTAL_DEFENDED,1in5,2020,3769.91650390625,1219.3369140625,0.0812809964025951
BEN,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,13477.3232421875,2035.681640625,0.0332919857025628
BEN,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,136388.28125,22811.6875,0.0372839148642767
BEN,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5521.6064453125,802.06689453125,0.0318894298722784
BEN,2000,pop,COASTAL_DEFENDED,1in10,2020,5690.23583984375,1706.984130859375,0.0739362528910714
BEN,2000,pop,COASTAL_DEFENDED,1in100,2020,5945.5087890625,1778.24072265625,0.0736618393860359
BEN,2000,pop,COASTAL_DEFENDED,1in5,2020,5422.341796875,1652.42529296875,0.0754024749940487
BEN,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,15521.046875,2043.7236328125,0.0286401533665492
BEN,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,162261.8125,25873.53125,0.0353515863851696
BEN,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,6301.2431640625,779.63671875,0.0267676051423044
BEN,2005,pop,COASTAL_DEFENDED,1in10,2020,7495.33642578125,1805.1005859375,0.0566524705997606
BEN,2005,pop,COASTAL_DEFENDED,1in100,2020,7804.3759765625,1858.8671875,0.0559171206492146
BEN,2005,pop,COASTAL_DEFENDED,1in5,2020,7156.48779296875,1734.14599609375,0.0570672287102305
BEN,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,19262.33984375,3741.29296875,0.0441372894172014
BEN,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,198338.109375,36076.296875,0.040969414215672
BEN,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,7686.216796875,1384.9736328125,0.0405364020403056
BEN,2010,pop,COASTAL_DEFENDED,1in10,2020,9466.640625,1971.30419921875,0.0478061712275164
BEN,2010,pop,COASTAL_DEFENDED,1in100,2020,9830.6728515625,2026.296875,0.0472467278431081
BEN,2010,pop,COASTAL_DEFENDED,1in5,2020,9075.7919921875,1919.30419921875,0.0486653536225623
BEN,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,23878.498046875,4616.158203125,0.0439016717697857
BEN,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,241370.234375,43032.125,0.0400530899565718
BEN,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,9340.638671875,1654.421875,0.0397592399908741
BEN,2015,pop,COASTAL_DEFENDED,1in10,2020,11812.2431640625,2345.6025390625,0.0452671397258508
BEN,2015,pop,COASTAL_DEFENDED,1in100,2020,12257.0888671875,2426.416015625,0.0451071482911107
BEN,2015,pop,COASTAL_DEFENDED,1in5,2020,11338.458984375,2262.6669921875,0.045523743447666
BEN,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,29248.841796875,5370.34375,0.0414066184899539
BEN,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,290868.53125,49498.296875,0.0380125519507195
BEN,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,11178.54296875,1837.904296875,0.0365773754937752
BEN,2020,pop,COASTAL_DEFENDED,1in10,2020,14276.962890625,2464.7197265625,0.0386295879674518
BEN,2020,pop,COASTAL_DEFENDED,1in100,2020,14825.5009765625,2568.412109375,0.0387819832738736
BEN,2020,pop,COASTAL_DEFENDED,1in5,2020,13721.0185546875,2382.5595703125,0.0388825789805831
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,35253.4453125,6004.603515625,0.0380507311893556
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,341684.40625,50815.875,0.0327273630649256
BEN,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,13362.380859375,2183.837890625,0.0363339579918653
BWA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,976.0926,,
BWA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,11310.736,,
BWA,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,453.15424,,
BWA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1342.24,366.1474,0.0657806445090039
BWA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,16021.364,4710.628,0.0721158596562736
BWA,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,599.3677,146.21344,0.0575221050381404
BWA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1772.9082,430.6682,0.0572342364417621
BWA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,21400.38,5379.0166,0.0596059781752491
BWA,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,752.0932,152.72552,0.0464432158911081
BWA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2280.5017,507.5935,0.0516441939786107
BWA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,27412.76,6012.379,0.0507665871392155
BWA,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,921.6024,169.50922,0.0414882872508994
BWA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2519.3867,238.88501,0.0201238219223156
BWA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,31960.38,4547.621,0.031173713608297
BWA,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1009.75464,88.15222,0.0184376598508315
BWA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2760.6277,241.24097,0.0184567624854119
BWA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,36607.996,4647.615,0.0275259633562685
BWA,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1089.6166,79.86194,0.0153401778167512
BWA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,3028.072,267.44434,0.0186656677049148
BWA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,39950.98,3342.9844,0.0176309172161088
BWA,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1195.6936,106.07703,0.0187537990601609
BWA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,3385.3206,357.24854,0.0225551109939687
BWA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,44207.387,4256.4062,0.0204541046579993
BWA,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,1307.3683,111.67468,0.0180183485266078
BWA,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,3814.6472,429.32666,0.0241673251823226
