ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2050,1455731,49432.25,0.001728841
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2080,1503735.1,48004.125,0.001082047
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2030,50825.992,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2050,56410.855,5584.8633,0.005226295
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2080,63379.87,6969.0156,0.00389037
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2030,141220.78,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2050,167853.97,26633.188,0.008675913
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2080,226734.52,58880.547,0.010073243
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2030,1407314.6,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2050,1465449.2,58134.625,0.002025973
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2080,1560072,94622.75,0.002087848
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2030,50937.277,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2050,58102.688,7165.41,0.006602547
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2080,73947.336,15844.648,0.008070433
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2030,143572.19,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2050,182067.72,38495.53,0.011947847
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2080,259392.92,77325.2,0.011868724
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2030,1412514.1,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2050,1491188.2,78674.125,0.00271378
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2080,1628113.6,136925.38,0.002932584
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2030,51670.945,,
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2050,61363.79,9692.844,0.008633265
AGO,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2080,83648.86,22285.07,0.010380437
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2030,16957.48633,,
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2050,22254.08203,5296.595703,0.013683577
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in10,2080,35765.75,13511.66797,0.015941236
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2030,17740.63672,,
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2050,22867.9375,5127.300781,0.012774807
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in100,2080,36546.01953,13678.08203,0.015750636
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2030,16582.24023,,
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2050,22014.67969,5432.439453,0.014269716
BEN,2020,pop,COASTAL_DEFENDED,SSP1_2.6,1in5,2080,35488.57031,13473.89063,0.016044052
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2030,17228.41406,,
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2050,23149.39258,5920.978516,0.014880049
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in10,2080,42441.33984,19291.94727,0.02041065
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2030,17938.30469,,
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2050,23655.68945,5717.384766,0.013929387
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in100,2080,43224.28516,19568.5957,0.020296524
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2030,16766.05664,,
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2050,23007.93359,6241.876953,0.015949999
BEN,2020,pop,COASTAL_DEFENDED,SSP2_4.5,1in5,2080,42181.17578,19173.24219,0.020409991
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2030,17401.29688,,
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2050,24077.33789,6676.041016,0.016368842
BEN,2020,pop,COASTAL_DEFENDED,SSP3_7.0,1in10,2080,48179.30859,24101.9707,0.023391337
