Country Code,Year,Value
SYC,1980,49.366
TCD,1980,18.787
TGO,1980,24.663
TZA,1980,14.555
UGA,1980,7.534
ZAF,1980,48.425
ZMB,1980,39.815
ZWE,1980,22.371
AFE,1981,21.21962767167218
AFW,1981,25.176251965161764
AGO,1981,25.437
BDI,1981,4.503
BEN,1981,28.01
BFA,1981,9.428
BWA,1981,17.552
CAF,1981,34.202
CIV,1981,37.044
CMR,1981,32.761
COD,1981,27.327
COG,1981,48.781
COM,1981,23.649
CPV,1981,24.995
ERI,1981,14.572
ETH,1981,10.61
GAB,1981,57.0
GHA,1981,31.388
GIN,1981,24.503
GMB,1981,29.256
GNB,1981,18.883
GNQ,1981,27.965
KEN,1981,15.681
LBR,1981,36.163
LSO,1981,11.51
MDG,1981,18.988
MLI,1981,18.97
MOZ,1981,14.051
MRT,1981,28.81
MUS,1981,42.134
MWI,1981,9.263
NAM,1981,25.355
NER,1981,13.656
NGA,1981,22.671
RWA,1981,4.786
SDN,1981,20.166
SEN,1981,36.122
SLE,1981,30.248
SOM,1981,27.021
SSA,1981,24.005116262688983
SSD,1981,8.508
STP,1981,33.857
SWZ,1981,16.824
SYC,1981,49.352
TCD,1981,18.982
TGO,1981,25.02
TZA,1981,14.976
UGA,1981,7.834
ZAF,1981,48.591
ZMB,1981,39.854
ZWE,1981,22.895
AFE,1982,21.53131797348415
AFW,1982,25.78200929822288
AGO,1982,26.612
BDI,1982,4.674
BEN,1982,28.692
BFA,1982,10.091
BWA,1982,19.489
CAF,1982,34.532
CIV,1982,37.26
CMR,1982,33.613
COD,1982,27.583
COG,1982,49.707
COM,1982,24.095
CPV,1982,26.535
ERI,1982,14.755
ETH,1982,10.813
GAB,1982,58.372
GHA,1982,31.614
GIN,1982,25.414
GMB,1982,30.113
GNB,1982,20.013
GNQ,1982,28.058
KEN,1982,15.78
LBR,1982,37.173
LSO,1982,11.57
MDG,1982,19.461
MLI,1982,19.466
MOZ,1982,15.035
MRT,1982,30.295
MUS,1982,41.917
MWI,1982,9.481
NAM,1982,25.611
NER,1982,13.871
NGA,1982,23.389
RWA,1982,4.853
SDN,1982,20.376
SEN,1982,36.476
SLE,1982,30.68
SOM,1982,27.28
SSA,1982,24.46581687657279
SSD,1982,8.497
STP,1982,34.826
SWZ,1982,17.176
SYC,1982,49.337
TCD,1982,19.179
TGO,1982,25.391
TZA,1982,15.409
UGA,1982,8.147
ZAF,1982,48.756
ZMB,1982,39.805
ZWE,1982,23.429
AFE,1983,21.903453879027914
AFW,1983,26.39322262549449
AGO,1983,27.821
BDI,1983,4.85
BEN,1983,29.384
BFA,1983,10.796
BWA,1983,21.723
CAF,1983,34.864
CIV,1983,37.476
CMR,1983,34.476
COD,1983,27.84
COG,1983,50.633
COM,1983,24.548
CPV,1983,28.133
ERI,1983,14.94
ETH,1983,11.02
GAB,1983,59.73
GHA,1983,31.842
GIN,1983,26.072
GMB,1983,31.008
GNB,1983,21.194
GNQ,1983,28.151
KEN,1983,15.879
LBR,1983,38.194
LSO,1983,11.63
MDG,1983,19.943
MLI,1983,19.972
MOZ,1983,16.074
MRT,1983,31.822
MUS,1983,41.701
MWI,1983,9.704
NAM,1983,25.861
NER,1983,14.09
NGA,1983,24.122
RWA,1983,4.92
SDN,1983,20.901
SEN,1983,36.832
SLE,1983,31.115
SOM,1983,27.541
SSA,1983,24.953770978414997
SSD,1983,8.708
STP,1983,35.887
SWZ,1983,17.533
SYC,1983,49.322
TCD,1983,19.377
TGO,1983,25.778
TZA,1983,15.851
UGA,1983,8.47
ZAF,1983,48.922
ZMB,1983,39.755
ZWE,1983,24.069
AFE,1984,22.33334466292628
AFW,1984,27.034553031585556
AGO,1984,29.065
BDI,1984,5.033
BEN,1984,30.086
BFA,1984,11.544
BWA,1984,24.139
CAF,1984,35.198
CIV,1984,37.693
CMR,1984,35.35
COD,1984,28.1
COG,1984,51.56
COM,1984,25.006
CPV,1984,29.792
ERI,1984,15.182
ETH,1984,11.232
GAB,1984,61.076
GHA,1984,32.209
GIN,1984,26.346
GMB,1984,32.007
GNB,1984,22.426
GNQ,1984,29.028
KEN,1984,15.979
LBR,1984,39.834
LSO,1984,11.691
MDG,1984,20.434
MLI,1984,20.488
MOZ,1984,17.172
MRT,1984,33.391
MUS,1984,42.012
MWI,1984,9.931
NAM,1984,26.113
NER,1984,14.312
NGA,1984,24.872
RWA,1984,4.988
SDN,1984,21.903
SEN,1984,37.191
SLE,1984,31.555
SOM,1984,27.804
SSA,1984,25.4904128846872
SSD,1984,9.261
STP,1984,36.963
SWZ,1984,17.897
SYC,1984,49.307
TCD,1984,19.578
TGO,1984,26.169
TZA,1984,16.305
UGA,1984,8.805
ZAF,1984,49.088
ZMB,1984,39.705
ZWE,1984,24.736
AFE,1985,22.800577814792465
AFW,1985,27.71672263412782
AGO,1985,30.338
BDI,1985,5.221
BEN,1985,30.796
BFA,1985,12.334
BWA,1985,26.724
CAF,1985,35.532
CIV,1985,37.91
CMR,1985,36.232
COD,1985,28.513
COG,1985,52.221
COM,1985,25.469
CPV,1985,31.5
ERI,1985,15.757
ETH,1985,11.453
GAB,1985,62.402
GHA,1985,32.896
GIN,1985,26.621
GMB,1985,33.019
GNB,1985,23.704
GNQ,1985,29.94
KEN,1985,16.079
LBR,1985,42.373
LSO,1985,11.752
MDG,1985,20.933
MLI,1985,21.013
MOZ,1985,18.326
MRT,1985,34.994
MUS,1985,42.325
MWI,1985,10.163
NAM,1985,26.366
NER,1985,14.536
NGA,1985,25.635
RWA,1985,5.057
SDN,1985,22.937
SEN,1985,37.549
SLE,1985,31.997
SOM,1985,28.067
SSA,1985,26.07230224801591
SSD,1985,9.844
STP,1985,38.049
SWZ,1985,18.266
SYC,1985,49.292
TCD,1985,19.779
TGO,1985,26.562
TZA,1985,16.767
UGA,1985,9.152
ZAF,1985,49.372
ZMB,1985,39.655
ZWE,1985,25.414
AFE,1986,23.303935569084025
AFW,1986,28.391321927114458
AGO,1986,31.643
BDI,1986,5.417
BEN,1986,31.517
BFA,1986,12.832
BWA,1986,29.483
CAF,1986,35.868
CIV,1986,38.127
CMR,1986,37.124
COD,1986,28.93
COG,1986,52.642
COM,1986,25.938
CPV,1986,33.885
ERI,1986,16.351
ETH,1986,11.679
GAB,1986,63.711
GHA,1986,33.591
GIN,1986,26.898
GMB,1986,34.049
GNB,1986,25.034
GNQ,1986,30.871
KEN,1986,16.18
LBR,1986,44.956
LSO,1986,11.905
MDG,1986,21.442
MLI,1986,21.548
MOZ,1986,19.541
MRT,1986,36.634
MUS,1986,42.639
MWI,1986,10.4
NAM,1986,26.621
NER,1986,14.763
NGA,1986,26.414
RWA,1986,5.127
SDN,1986,24.005
SEN,1986,37.909
SLE,1986,32.325
SOM,1986,28.333
SSA,1986,26.67621156634837
SSD,1986,10.461
STP,1986,39.149
SWZ,1986,18.641
SYC,1986,49.277
TCD,1986,19.983
TGO,1986,26.96
TZA,1986,17.241
UGA,1986,9.511
ZAF,1986,49.905
ZMB,1986,39.606
ZWE,1986,26.105
AFE,1987,23.805338624227318
AFW,1987,29.05777380930218
AGO,1987,32.978
BDI,1987,5.62
BEN,1987,32.246
BFA,1987,13.072
BWA,1987,32.401
CAF,1987,36.206
CIV,1987,38.346
CMR,1987,37.941
COD,1987,29.35
COG,1987,53.064
COM,1987,26.413
CPV,1987,36.355
ERI,1987,16.962
ETH,1987,11.909
GAB,1987,65.0
GHA,1987,34.293
GIN,1987,27.178
GMB,1987,35.094
GNB,1987,26.413
GNQ,1987,31.817
KEN,1987,16.281
LBR,1987,47.567
LSO,1987,12.394
MDG,1987,21.959
MLI,1987,22.069
MOZ,1987,20.815
MRT,1987,38.305
MUS,1987,42.953
MWI,1987,10.641
NAM,1987,26.877
NER,1987,14.993
NGA,1987,27.209
RWA,1987,5.198
SDN,1987,25.107
SEN,1987,38.271
SLE,1987,32.555
SOM,1987,28.627
SSA,1987,27.2810448050972
SSD,1987,11.111
STP,1987,40.26
SWZ,1987,19.022
SYC,1987,49.262
TCD,1987,20.187
TGO,1987,27.362
TZA,1987,17.725
UGA,1987,9.882
ZAF,1987,50.439
ZMB,1987,39.556
ZWE,1987,26.809
AFE,1988,24.30672508153476
AFW,1988,29.71312610471116
AGO,1988,34.343
BDI,1988,5.83
BEN,1988,32.985
BFA,1988,13.316
BWA,1988,35.467
CAF,1988,36.545
CIV,1988,38.608
CMR,1988,38.511
COD,1988,29.775
COG,1988,53.485
COM,1988,26.893
CPV,1988,38.902
ERI,1988,17.592
ETH,1988,12.143
GAB,1988,66.412
GHA,1988,35.004
GIN,1988,27.459
GMB,1988,36.155
GNB,1988,27.841
GNQ,1988,32.78
KEN,1988,16.383
LBR,1988,50.195
LSO,1988,12.901
MDG,1988,22.487
MLI,1988,22.482
MOZ,1988,22.152
MRT,1988,39.57
MUS,1988,43.269
MWI,1988,10.934
NAM,1988,27.136
NER,1988,15.209
NGA,1988,28.019
RWA,1988,5.27
SDN,1988,26.244
SEN,1988,38.613
SLE,1988,32.787
SOM,1988,28.969
SSA,1988,27.890820784006525
SSD,1988,11.797
STP,1988,41.382
SWZ,1988,19.41
SYC,1988,49.247
TCD,1988,20.394
TGO,1988,27.768
TZA,1988,18.221
UGA,1988,10.267
ZAF,1988,50.972
ZMB,1988,39.506
ZWE,1988,27.524
AFE,1989,24.80060615628445
AFW,1989,30.353573954688954
AGO,1989,35.731
BDI,1989,6.047
BEN,1989,33.73
BFA,1989,13.563
BWA,1989,38.648
CAF,1989,36.744
CIV,1989,38.976
CMR,1989,39.082
COD,1989,30.202
COG,1989,53.905
COM,1989,27.378
CPV,1989,41.504
ERI,1989,18.239
ETH,1989,12.38
GAB,1989,67.792
GHA,1989,35.719
GIN,1989,27.741
GMB,1989,37.226
GNB,1989,29.312
GNQ,1989,33.755
KEN,1989,16.485
LBR,1989,52.814
LSO,1989,13.425
MDG,1989,23.021
MLI,1989,22.899
MOZ,1989,23.545
MRT,1989,39.447
MUS,1989,43.584
MWI,1989,11.243
NAM,1989,27.395
NER,1989,15.289
NGA,1989,28.842
RWA,1989,5.342
SDN,1989,27.41
SEN,1989,38.755
SLE,1989,33.019
SOM,1989,29.312
SSA,1989,28.49067087777966
SSD,1989,12.517
STP,1989,42.511
SWZ,1989,19.803
SYC,1989,49.25
TCD,1989,20.602
TGO,1989,28.176
TZA,1989,18.565
UGA,1989,10.665
ZAF,1989,51.505
ZMB,1989,39.456
ZWE,1989,28.25
AFE,1990,25.308714391404276
AFW,1990,30.960097945997752
AGO,1990,37.144
BDI,1990,6.271
BEN,1990,34.485
BFA,1990,13.815
BWA,1990,41.933
CAF,1990,36.825
CIV,1990,39.345
CMR,1990,39.657
COD,1990,30.633
COG,1990,54.324
COM,1990,27.869
CPV,1990,44.12
ERI,1990,18.905
ETH,1990,12.621
GAB,1990,69.143
GHA,1990,36.441
GIN,1990,28.026
GMB,1990,38.312
GNB,1990,30.83
GNQ,1990,34.745
KEN,1990,16.748
LBR,1990,55.422
LSO,1990,13.967
MDG,1990,23.566
MLI,1990,23.322
MOZ,1990,25.0
MRT,1990,39.323
MUS,1990,43.9
MWI,1990,11.56
NAM,1990,27.656
NER,1990,15.368
NGA,1990,29.68
RWA,1990,5.416
SDN,1990,28.61
SEN,1990,38.896
SLE,1990,33.252
SOM,1990,29.658
SSA,1990,29.081091475511386
SSD,1990,13.276
STP,1990,43.648
SWZ,1990,20.202
SYC,1990,49.27
TCD,1990,20.811
TGO,1990,28.589
TZA,1990,18.884
UGA,1990,11.076
ZAF,1990,52.037
ZMB,1990,39.407
ZWE,1990,28.988
AFE,1991,25.74256550524447
AFW,1991,31.40117690649403
AGO,1991,38.58
BDI,1991,6.455
BEN,1991,35.247
BFA,1991,14.07
BWA,1991,45.292
CAF,1991,36.906
CIV,1991,39.716
CMR,1991,40.235
COD,1991,31.067
COG,1991,54.743
COM,1991,28.366
CPV,1991,45.044
ERI,1991,19.59
ETH,1991,12.867
GAB,1991,70.462
GHA,1991,37.17
GIN,1991,28.312
GMB,1991,39.41
GNB,1991,32.39
GNQ,1991,35.748
KEN,1991,17.043
LBR,1991,58.0
LSO,1991,14.527
MDG,1991,24.119
MLI,1991,23.751
MOZ,1991,25.487
MRT,1991,39.199
MUS,1991,43.777
MWI,1991,11.885
NAM,1991,27.919
NER,1991,15.449
NGA,1991,30.176
RWA,1991,5.491
SDN,1991,29.84
SEN,1991,39.038
SLE,1991,33.485
SOM,1991,30.007
SSA,1991,29.562985143154847
SSD,1991,14.074
STP,1991,44.793
SWZ,1991,20.607
SYC,1991,49.307
TCD,1991,21.023
TGO,1991,29.005
TZA,1991,19.208
UGA,1991,11.454
ZAF,1991,52.554
ZMB,1991,38.989
ZWE,1991,29.738
AFE,1992,26.16629412175098
AFW,1992,31.829515746326003
AGO,1992,40.039
BDI,1992,6.637
BEN,1992,35.827
BFA,1992,14.33
BWA,1992,46.443
CAF,1992,36.987
CIV,1992,40.088
CMR,1992,40.817
COD,1992,31.506
COG,1992,55.162
COM,1992,28.435
CPV,1992,45.973
ERI,1992,20.294
ETH,1992,13.116
GAB,1992,71.749
GHA,1992,37.905
GIN,1992,28.601
GMB,1992,40.52
GNB,1992,33.271
GNQ,1992,36.766
KEN,1992,17.342
LBR,1992,55.019
LSO,1992,15.106
MDG,1992,24.681
MLI,1992,24.186
MOZ,1992,25.98
MRT,1992,39.075
MUS,1992,43.653
MWI,1992,12.218
NAM,1992,28.336
NER,1992,15.529
NGA,1992,30.677
RWA,1992,6.288
SDN,1992,31.103
SEN,1992,39.18
SLE,1992,33.72
SOM,1992,30.359
SSA,1992,30.034504587474597
SSD,1992,14.912
STP,1992,45.764
SWZ,1992,21.018
SYC,1992,49.362
TCD,1992,21.235
TGO,1992,29.425
TZA,1992,19.536
UGA,1992,11.79
ZAF,1992,53.038
ZMB,1992,38.514
ZWE,1992,30.499
AFE,1993,26.60729398739791
AFW,1993,32.25256110544723
AGO,1993,41.511
BDI,1993,6.823
BEN,1993,36.136
BFA,1993,14.593
BWA,1993,47.286
CAF,1993,37.068
CIV,1993,40.461
CMR,1993,41.399
COD,1993,31.946
COG,1993,55.58
COM,1993,28.39
CPV,1993,46.902
ERI,1993,21.015
ETH,1993,13.37
GAB,1993,72.999
GHA,1993,38.644
GIN,1993,28.89
GMB,1993,41.586
GNB,1993,33.635
GNQ,1993,37.792
KEN,1993,17.645
LBR,1993,52.009
LSO,1993,15.703
MDG,1993,25.251
MLI,1993,24.624
MOZ,1993,26.479
MRT,1993,38.952
MUS,1993,43.53
MWI,1993,12.558
NAM,1993,28.823
NER,1993,15.61
NGA,1993,31.182
RWA,1993,7.313
SDN,1993,32.127
SEN,1993,39.321
SLE,1993,33.955
SOM,1993,30.711
SSA,1993,30.499869438432707
SSD,1993,15.626
