Country Code,Year,Value
GIN,2008,44.00206
GMB,2008,49.70956
GNB,2008,75.2
GNQ,2008,59.85517
KEN,2008,56.99891
LBR,2008,72.81052
LCN,2008,23.420362444946736
LSO,2008,50.33592
MDG,2008,81.82945
MEA,2008,42.59006193589042
MLI,2008,67.09729
MOZ,2008,76.04086
MRT,2008,71.18681
MUS,2008,67.40634
MWI,2008,67.35464
NAM,2008,41.96073
NER,2008,70.27001
NGA,2008,64.0572
RWA,2008,57.49576
SDN,2008,94.00333
SEN,2008,52.93485
SLE,2008,67.07228
SOM,2008,67.40634
SSA,2008,59.1636456740406
SSD,2008,99.80584
STP,2008,60.3972
SWZ,2008,40.50418
SYC,2008,67.40634
TCD,2008,87.07463
TGO,2008,56.29878
TZA,2008,64.29748
UGA,2008,70.14557
ZAF,2008,26.08634
ZMB,2008,57.57398
ZWE,2008,25.14033
AFE,2010,58.081581395907214
AFW,2010,58.99301560294887
AGO,2010,38.05496
BDI,2010,60.9555
BEN,2010,69.89931
BFA,2010,54.38089
BWA,2010,48.07927
CAF,2010,71.75511
CIV,2010,59.37338
CMR,2010,49.01779
COD,2010,74.21711
COG,2010,65.99471
COM,2010,67.45416
CPV,2010,58.95417
ECS,2010,3.648318458191084
ERI,2010,64.81973
ETH,2010,76.69536
GAB,2010,48.07475
GHA,2010,43.56743
GIN,2010,44.83624
GMB,2010,47.90681
GNB,2010,75.2
GNQ,2010,60.60063
KEN,2010,55.45251
LBR,2010,71.02538
LCN,2010,21.793667692843137
LSO,2010,46.20546
MDG,2010,79.42789
MEA,2010,40.71938309488945
MLI,2010,62.90255
MOZ,2010,72.5272
MRT,2010,67.81021
MUS,2010,64.81973
MWI,2010,63.84062
NAM,2010,41.8117
NER,2010,70.32799
NGA,2010,61.54467
RWA,2010,54.01458
SDN,2010,88.91831
SEN,2010,49.37985
SLE,2010,64.33467
SOM,2010,64.81973
SSA,2010,57.580337134812126
SSD,2010,97.0038
STP,2010,58.45879
SWZ,2010,33.08018
SYC,2010,64.81973
TCD,2010,85.94735
TGO,2010,53.05546
TZA,2010,60.03984
UGA,2010,67.45666
ZAF,2010,25.7055
ZMB,2010,56.02134
ZWE,2010,24.54498
AFE,2012,57.21821432870208
AFW,2012,56.42574691332842
AGO,2012,44.18648
BDI,2012,55.59298
BEN,2012,69.50603
BFA,2012,48.81476
BWA,2012,45.95664
CAF,2012,68.9131
CIV,2012,57.83274
CMR,2012,45.74859
COD,2012,75.13825
COG,2012,59.76296
COM,2012,68.0461
CPV,2012,56.46129
ECS,2012,3.3464998187847117
ERI,2012,62.16985
ETH,2012,73.60011
GAB,2012,46.2037
GHA,2012,40.20724
GIN,2012,45.67042
GMB,2012,46.10407
GNB,2012,75.24783
GNQ,2012,61.41705
KEN,2012,53.90611
LBR,2012,69.24025
LCN,2012,19.66005216400844
LSO,2012,42.075
MDG,2012,77.02633
MEA,2012,38.46962773832668
MLI,2012,58.7078
MOZ,2012,69.01354
MRT,2012,64.43361
MUS,2012,62.16985
MWI,2012,60.32659
NAM,2012,41.66268
NER,2012,70.38598
NGA,2012,59.03215
RWA,2012,50.53339
SDN,2012,83.8333
SEN,2012,45.82485
SLE,2012,61.59705
SOM,2012,62.16985
SSA,2012,55.967937818488736
SSD,2012,94.20176
STP,2012,56.52039
SWZ,2012,25.65619
SYC,2012,62.16985
TCD,2012,84.82007
TGO,2012,49.81214
TZA,2012,55.78221
UGA,2012,64.76776
ZAF,2012,25.32466
ZMB,2012,54.4687
ZWE,2012,23.94962
AFE,2014,56.361490979446245
AFW,2014,53.85131993969596
AGO,2014,50.31801
BDI,2014,50.23046
BEN,2014,69.11276
BFA,2014,43.24863
BWA,2014,43.83402
CAF,2014,68.9131
CIV,2014,56.2921
CMR,2014,42.47939
COD,2014,76.0594
COG,2014,53.53121
COM,2014,68.63803
CPV,2014,53.93736
ECS,2014,2.683552942147563
ERI,2014,59.52948
ETH,2014,70.50487
GAB,2014,44.33265
GHA,2014,36.84704
GIN,2014,46.5046
GMB,2014,44.30132
GNB,2014,71.63847
GNQ,2014,62.38752
KEN,2014,52.35971
LBR,2014,67.45511
LCN,2014,18.94417591481793
LSO,2014,37.94455
MDG,2014,74.62477
MEA,2014,35.82765723465276
MLI,2014,54.51306
MOZ,2014,65.49988
MRT,2014,61.05702
MUS,2014,59.52948
MWI,2014,56.81257
NAM,2014,41.51365
NER,2014,70.44397
NGA,2014,56.51963
RWA,2014,47.0522
SDN,2014,78.74829
SEN,2014,42.26985
SLE,2014,58.85944
SOM,2014,59.52948
SSA,2014,54.35926626483899
SSD,2014,94.2
STP,2014,54.58198
SWZ,2014,18.23219
SYC,2014,59.52948
TCD,2014,83.69279
TGO,2014,46.56882
TZA,2014,51.52457
UGA,2014,62.07886
ZAF,2014,24.94382
ZMB,2014,52.91605
ZWE,2014,23.35427
AFE,2016,55.50679153201347
AFW,2016,51.28426279135646
AGO,2016,56.44953
BDI,2016,44.86794
BEN,2016,68.71948
BFA,2016,37.6825
BWA,2016,41.71139
CAF,2016,68.9131
CIV,2016,54.75146
CMR,2016,39.21019
COD,2016,76.98054
COG,2016,47.29947
COM,2016,68.6
CPV,2016,51.40312
ECS,2016,2.642100657379176
ERI,2016,56.84264
ETH,2016,67.40962
GAB,2016,44.33265
GHA,2016,33.48685
GIN,2016,47.33878
GMB,2016,42.49858
GNB,2016,68.0291
GNQ,2016,63.47137
KEN,2016,50.81331
LBR,2016,65.66997
LCN,2016,17.647455425425417
LSO,2016,33.81409
MDG,2016,72.22321
MEA,2016,34.71361922659235
