city_name,covers_by_area_threshold,area_ratio_2020_over_2015,area_2015,area_2020
7533.0,True,1.0364069994044,3717312.400142604,3852648.5904805646
1579.0,True,1.1379972640413298,3591810.5989399683,4087470.634548334
291.0,True,1.1023086938254887,1893911.4133518385,2087675.01627305
8798.0,True,1.1680591384145431,3811578.2770311213,4452148.83826856
3392.0,True,1.5204537322673262,40995534.80654596,62331813.90290788
3046.0,True,2.9595645642609845,38742440.954922475,114660755.38316205
2811.0,True,1.815637347051408,23879800.39145388,43357057.430856496
1909.0,True,1.5422014065980048,11366800.11930286,17529895.13250724
8728.0,True,1.0,6227874.507079525,6227874.507079525
1473.0,True,0.9999999999999941,3898062.148072792,3898062.1480727694
8033.0,True,1.2034484392394436,3273125.2177815535,3939037.4347744747
8783.0,True,1.0930766575379873,11526029.467415279,12598833.76492664
6459.0,True,1.12839332414186,11189323.09622792,12625957.483449912
1281.0,True,1.309493443833903,13211405.38105798,17300248.73032737
6994.0,True,1.1188261935579003,2602060.3456434873,2911253.2719242573
5067.0,True,1.2636203159808008,3031270.6147438255,3830375.132025909
357.0,True,1.3738713196837153,2677365.756704886,3678356.025440131
340.0,True,1.1390478272750537,1947028.406314226,2217758.4758550297
1361.0,True,1.1901902329854104,9869523.876563344,11746610.922101997
2757.0,True,0.9999999999999973,33468678.887459576,33468678.887459487
2909.0,True,0.9999999999999959,12696398.995977998,12696398.995977946
5988.0,True,1.07354417504698,13937375.482294982,14962388.264460374
7119.0,True,1.11776025055238,3764342.970825675,4207632.942235197
310.0,True,1.0218045657815233,3879180.5918227863,3963764.4402155946
6660.0,True,1.0221035373658618,2837066.303645749,2899775.5046978104
2538.0,True,1.130902282659789,2176136.542555806,2460997.783355742
8501.0,True,1.1456485028017211,8956599.11058855,10261114.361241
7663.0,True,1.0,2838703.7459117305,2838703.7459117305
8339.0,True,1.0742200759136593,1798919.936740481,1932435.911007955
6455.0,True,1.1891034248971755,8359550.215195363,9940369.791488728
5037.0,True,1.0977499921236697,4314553.139823385,4736300.675258275
2784.0,True,1.2940964082341404,20821040.81394416,26944434.133021582
5371.0,True,1.2154877561592148,3359544.0767559544,4083484.691574076
6981.0,True,1.0857828531340055,1921161.3735784472,2085964.0775348512
3427.0,True,1.0,875389.8856502821,875389.8856502821
71.0,True,1.9627625091983096,10172471.097915994,19966144.89689288
8976.0,True,1.083890966349182,2306107.5384611543,2499569.128367794
2115.0,True,1.316639239961926,2569975.9907437526,3383731.2351732524
8297.0,True,1.1008459411110663,2663880.405491154,2932521.9319902384
5078.0,True,1.3533425827507368,5691647.875966618,7702749.436568407
4123.0,True,1.145258061990925,1850271.1725846052,2119037.977271921
3423.0,True,1.302835782205115,2047303.6082900406,2667300.3979179095
2071.0,True,1.8665881708324774,1884570.0704996784,3517716.200699628
2716.0,True,1.0,1665081.3492525294,1665081.3492525294
9025.0,True,1.226669217426269,3518546.7610027087,4316093.001796926
4081.0,True,1.5136507383097688,2315821.4112028484,3505344.7888607625
1470.0,True,1.0332324364905645,1453150028.1697552,1501441744.1921687
1348.0,True,1.4524453843346774,2933451.3449650016,4260677.866164768
4607.0,True,1.2341675904423968,7842290.457968884,9678700.718060859
1416.0,True,1.2839812704027183,3046894.01280115,3912154.845338857
4347.0,True,1.3370677831068645,22269981.421099737,29776474.688540887
4170.0,True,1.199106801181653,3312212.6126682386,3971696.670810137
7138.0,True,1.2272652164032642,3207454.2361135,3936397.017187401
3276.0,True,1.24095633197964,12870090.350085359,15971220.113088487
536.0,True,1.096274691515388,1172733.093919979,1285637.6107670115
8641.0,True,1.0,42547749.66688049,42547749.66688049
5488.0,True,1.1554675045658063,1615335.0119585968,1866467.1153055765
6348.0,True,1.1369157434667165,7815902.482101807,8886022.58130213
1753.0,True,1.3729513888950309,20440496.768315498,28063808.427763153
4594.0,True,1.1049610561999452,5697585.162767938,6295609.719241198
1177.0,True,1.8429896216269772,1717231.605579779,3164840.0270133633
6541.0,True,1.131188918248371,676339.6228492729,765067.8863393803
3595.0,True,1.1690099368949856,4448937.339576117,5200851.958587621
7412.0,True,1.580180232626819,3547219.347221149,5605245.893270269
7302.0,True,1.2956558373122526,4527750.918620182,5866406.907606154
4401.0,True,1.224776018593323,2498172.9758691783,3059702.3511424856
6825.0,True,1.2202257502149645,1910922.4613656453,2331756.794022521
2475.0,True,2.360049042099092,24973584.310833424,58938883.73056333
8379.0,True,1.2682769872659772,13582147.793449221,17225925.484077018
1045.0,True,1.0184154345229472,2492392.6084543355,2538291.101340804
572.0,True,1.685577179309623,25180043.619350392,42442906.89879791
