ISO_A3,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
BWA,2025,2541722,508.12042,2217708500.0,10,FLUVIAL_PLUVIAL_DEFENDED,10508,0.0041342050782894,1.5679439306259155,0.0030857723122667,4452587.5,0.0020077424114392
BWA,2025,2541722,508.12042,2217708500.0,100,FLUVIAL_PLUVIAL_DEFENDED,104987,0.0413054614155285,14.450970649719238,0.0284400508495749,50956788.0,0.0229772249098572
CAF,2015,4589877,192.92917,821763200.0,10,FLUVIAL_PLUVIAL_DEFENDED,68207,0.0148603110715167,2.477192640304565,0.0128399072933418,7655292.0,0.009315690943571
CAF,2015,4589877,192.92917,821763200.0,100,FLUVIAL_PLUVIAL_DEFENDED,346278,0.0754438517633479,11.925950050354004,0.061815173571945,55303460.0,0.0672985356365434
CAF,2020,4960549,206.19069,866153500.0,10,FLUVIAL_PLUVIAL_DEFENDED,73383,0.0147933222713856,2.655314922332764,0.0128779574581735,8169573.5,0.0094320161081106
CAF,2020,4960549,206.19069,866153500.0,100,FLUVIAL_PLUVIAL_DEFENDED,373016,0.0751965155469687,12.72337532043457,0.0617068373784394,57908392.0,0.0668569645819072
CAF,2025,5421123,212.6143,883830800.0,10,FLUVIAL_PLUVIAL_DEFENDED,79491,0.0146631980126626,2.8307595252990723,0.0133140596729226,8648468.0,0.0097852079341015
CAF,2025,5421123,212.6143,883830800.0,100,FLUVIAL_PLUVIAL_DEFENDED,404655,0.074644128163113,13.304997444152832,0.0625780919701467,59538976.0,0.0673646778069228
CIV,2015,24880340,1137.7078,5968699000.0,10,FLUVIAL_PLUVIAL_DEFENDED,219348,0.0088161174646327,9.009836196899414,0.0079192886649738,38420884.0,0.0064370618743628
CIV,2015,24880340,1137.7078,5968699000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1012988,0.0407143953820566,40.35545349121094,0.0354708430229626,193510896.0,0.0324209513481102
CIV,2020,28557938,1272.3403,6453912000.0,10,FLUVIAL_PLUVIAL_DEFENDED,249077,0.0087218131785285,10.174428939819336,0.007996625339681,42318128.0,0.0065569731320095
CIV,2020,28557938,1272.3403,6453912000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1152260,0.0403481511865457,45.29486846923828,0.035599648402976,210279648.0,0.0325817342899576
CIV,2025,32320674,1359.3682,6715837400.0,10,FLUVIAL_PLUVIAL_DEFENDED,280398,0.0086754997745405,11.770149230957031,0.0086585441252218,47311968.0,0.0070448352007757
CIV,2025,32320674,1359.3682,6715837400.0,100,FLUVIAL_PLUVIAL_DEFENDED,1298632,0.0401796076406079,51.78189849853516,0.0380926226371109,230496208.0,0.0343212905403499
