ISO3,agglosID,agglosName,ghsl_year,BU,BU_1in5,BU_1in10,BU_1in100,BU_1in5_pct,BU_1in10_pct,BU_1in100_pct,POP,POP_1in5,POP_1in10,POP_1in100,POP_1in5_pct,POP_1in10_pct,POP_1in100_pct
AGO,1095,Dondo (alto dondo),1975,0.377026,0.0,0.0,0.000340111,0.0,0.0,0.09020889806008074,22144.82638888889,0.0,0.0,23.374475479125977,0.0,0.0,0.10555276012845174
AGO,1095,Dondo (alto dondo),1980,0.4163546666666666,0.0,0.0,0.000454222,0.0,0.0,0.10909497031377097,24758.277777777777,0.0,0.0,28.93982315063477,0.0,0.0,0.11688948403596235
AGO,1095,Dondo (alto dondo),1985,0.4689074444444444,0.0,3.98e-05,0.000728111,0.0,0.008487815766532462,0.15527819159763112,27781.98263888889,0.0,1.83122718334198,46.16488265991211,0.0,0.006591420083815939,0.16616842383052624
AGO,1095,Dondo (alto dondo),1990,0.5239838888888889,0.0,0.000101111,0.001198333,0.0,0.01929658566686211,0.22869653541086396,30435.10763888889,0.0,4.936006546020508,71.98950958251953,0.0,0.01621813402004682,0.23653443397234422
AGO,1095,Dondo (alto dondo),1995,0.5550487777777778,0.0,0.000121444,0.001411333,0.0,0.021879878825464584,0.2542718868151528,32334.33333333333,0.0,5.733264446258545,74.17207336425781,0.0,0.01773119732253192,0.22939107047490642
AGO,1095,Dondo (alto dondo),2000,0.5869713333333333,0.0,0.000141667,0.001622778,0.0,0.024135250216648856,0.27646631238095676,33313.25,0.0,7.385601043701172,88.67068481445312,0.0,0.022170160652896884,0.26617242332841473
AGO,1095,Dondo (alto dondo),2005,0.6421398888888888,0.0,0.000216778,0.002187444,0.0,0.033758687748723495,0.34064913858333745,33781.97222222222,0.0,9.949291229248049,103.77771759033205,0.0,0.029451481292448865,0.3071985167345136
AGO,1095,Dondo (alto dondo),2010,0.7075734444444444,0.0,0.000291889,0.002758334,0.0,0.041252113443739885,0.38983006239949025,29947.972222222223,0.0,9.66995334625244,103.63750457763672,0.0,0.032289175622638874,0.34605850375650754
AGO,1095,Dondo (alto dondo),2015,0.7762014444444445,0.0,0.000356111,0.003238889,0.0,0.0458786829822098,0.4172742814615851,24245.671875,0.0,9.410321235656738,89.69161987304688,0.0,0.03881237560325079,0.36992837457941913
AGO,1095,Dondo (alto dondo),2020,0.8260186666666667,0.0,0.000373,0.003367889,0.0,0.045156364505079795,0.40772553162640396,18496.465277777777,0.0,7.196285724639893,75.0703125,0.0,0.03890627542380074,0.40586301962349414
AGO,1096,Alto hama,1975,0.3386927777777778,0.0,0.0,0.0,0.0,0.0,0.0,10510.344618055557,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,1980,0.3882687777777778,0.0,0.0,0.0,0.0,0.0,0.0,13378.229166666666,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,1985,0.4608885555555556,0.0,0.0,0.0,0.0,0.0,0.0,16991.706597222223,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,1990,0.5522852222222222,0.0,0.0,0.0,0.0,0.0,0.0,21478.538194444445,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,1995,0.6083896666666667,0.0,0.0,0.0,0.0,0.0,0.0,24915.850694444445,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,2000,0.6706442222222222,0.0,0.0,0.0,0.0,0.0,0.0,27710.53125,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,2005,0.6892832222222222,0.0,0.0,0.0,0.0,0.0,0.0,29658.034722222223,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,2010,0.7089663333333333,0.0,0.0,0.0,0.0,0.0,0.0,27543.635416666668,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,2015,0.7278837777777778,0.0,0.0,0.0,0.0,0.0,0.0,23529.91145833333,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1096,Alto hama,2020,0.7427373333333334,0.0,0.0,0.0,0.0,0.0,0.0,19521.63888888889,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1208,Cambulo,1975,1.3437996666666665,0.0,0.0,0.004802111,0.0,0.0,0.357353191782803,8517.024305555555,0.0,0.0,26.08213233947754,0.0,0.0,0.306235269546718
AGO,1208,Cambulo,1980,1.4439027777777778,0.0,0.0,0.005676445,0.0,0.0,0.39313207837554465,11920.583333333334,0.0,0.0,41.76944351196289,0.0,0.0,0.35039764702758863
AGO,1208,Cambulo,1985,1.5566251111111111,0.0,0.0,0.007347,0.0,0.0,0.47198262109209765,16842.824652777777,0.0,0.0,66.9942855834961,0.0,0.0,0.39776158075983514
AGO,1208,Cambulo,1990,1.6889815555555556,0.0,0.0,0.008935,0.0,0.0,0.5290170263026358,23699.194444444445,0.0,0.0,97.03504943847656,0.0,0.0,0.40944450523812415
AGO,1208,Cambulo,1995,1.7138022222222222,0.0,0.0,0.009992444,0.0,0.0,0.5830570103382862,33681.21527777778,0.0,0.0,159.0104522705078,0.0,0.0,0.4721042603691912
AGO,1208,Cambulo,2000,1.7449255555555556,0.0,0.0,0.011048556,0.0,0.0,0.6331820841767843,47616.24305555556,0.0,0.0,239.05783081054688,0.0,0.0,0.5020510134149593
AGO,1208,Cambulo,2005,1.7667664444444444,0.0,0.0,0.011208444,0.0,0.0,0.6344043965315669,64719.91666666666,0.0,0.0,328.9969482421875,0.0,0.0,0.5083395733289534
AGO,1208,Cambulo,2010,1.7888324444444446,0.0,0.0,0.011367777,0.0,0.0,0.635485846385712,77609.93055555556,0.0,0.0,408.0633850097656,0.0,0.0,0.5257875919856176
AGO,1208,Cambulo,2015,1.8604913333333333,1.22e-06,1.22e-06,0.011603999,6.557407595197971e-05,6.557407595197971e-05,0.623706157190735,85146.72222222222,0.017689224332571,0.017689224332571,446.8179016113281,2.0774991533325678e-05,2.0774991533325678e-05,0.5247623043494143
AGO,1208,Cambulo,2020,2.140916888888889,1.67e-05,1.67e-05,0.012175777,0.000780039621653277,0.000780039621653277,0.568717873318244,87392.15972222222,0.398678570985794,0.398678570985794,416.5702209472656,0.00045619489465988946,0.00045619489465988946,0.47666772656877077
AGO,1209,Andulo,1975,1.5892536666666668,0.0,0.0,0.000222333,0.0,0.0,0.013989774235747134,97696.09722222222,0.0,0.0,10.781416893005373,0.0,0.0,0.011035667953533156
AGO,1209,Andulo,1980,1.8145106666666664,0.0,0.0,0.000460444,0.0,0.0,0.025375656834569913,114467.05555555556,0.0,0.0,22.72325134277344,0.0,0.0,0.01985134607725182
AGO,1209,Andulo,1985,2.101861555555556,0.0,0.0,0.000754667,0.0,0.0,0.035904695911359835,134274.09722222222,0.0,0.0,38.109466552734375,0.0,0.0,0.028381845300857696
AGO,1209,Andulo,1990,2.3981644444444448,0.0,0.0,0.001136778,0.0,0.0,0.04740200375472351,155541.0,0.0,0.0,58.14078903198242,0.0,0.0,0.03737971919428473
AGO,1209,Andulo,1995,2.6054115555555555,0.0,0.0,0.001313111,0.0,0.0,0.050399369619745296,173123.52777777778,0.0,0.0,73.0774154663086,0.0,0.0,0.04221114045233131
