Country Code,Country Name,Year,10 million or more,5 to 10 million,1 to 5 million,500 000 to 1 million,300 000 to 500 000,Fewer than 300 000
SYC,Seychelles,2025,0.0,0.0,0.0,0.0,0.0,58.12
SYC,Seychelles,2030,0.0,0.0,0.0,0.0,0.0,60.516
SYC,Seychelles,2035,0.0,0.0,0.0,0.0,0.0,62.662
TCD,Chad,2020,0.0,0.0,1422.547,0.0,0.0,2407.713
TCD,Chad,2025,0.0,0.0,1722.784,0.0,0.0,2978.2000000000003
TCD,Chad,2030,0.0,0.0,2122.293,0.0,0.0,3696.9779999999996
TCD,Chad,2035,0.0,0.0,2640.134,0.0,303.103,4302.731
TGO,Togo,2020,0.0,0.0,1827.878,0.0,0.0,1760.586
TGO,Togo,2025,0.0,0.0,2108.74,0.0,0.0,2186.834
TGO,Togo,2030,0.0,0.0,2496.126,0.0,0.0,2610.276
TGO,Togo,2035,0.0,0.0,2946.567,0.0,0.0,3074.9309999999996
TZA,Tanzania,2020,0.0,6701.65,1120.43,1271.143,1567.847,11452.283
TZA,Tanzania,2025,0.0,8561.525,1447.344,2673.332,3451.061,12111.725000000002
TZA,Tanzania,2030,10788.523,0.0,2922.906,4075.718,3900.7429999999995,13841.165999999997
TZA,Tanzania,2035,13383.362,0.0,4736.278,5699.141,3795.9379999999996,16386.231
UGA,Uganda,2020,0.0,0.0,3298.364,0.0,322.456,8154.192000000001
UGA,Uganda,2025,0.0,0.0,4265.162,0.0,1657.5720000000001,9507.938
UGA,Uganda,2030,0.0,5505.707,0.0,1726.402,786.693,11895.630000000001
UGA,Uganda,2035,0.0,7003.977,0.0,2791.4500000000003,1110.163,14367.476999999999
ZAF,South Africa,2020,0.0,5782.747,15489.537,4836.855,879.914,12561.836000000003
ZAF,South Africa,2025,0.0,11508.158,11849.138,6269.046,333.664,13152.572999999993
ZAF,South Africa,2030,0.0,12446.112000000001,13817.088000000002,5736.554,1291.26,13166.057999999997
ZAF,South Africa,2035,0.0,13306.463,15829.094000000001,5074.523999999999,1380.572,14040.453000000001
ZMB,Zambia,2020,0.0,0.0,2774.133,1228.403,0.0,4333.844999999999
ZMB,Zambia,2025,0.0,0.0,3470.866,1452.22,0.0,5333.581999999999
ZMB,Zambia,2030,0.0,0.0,5271.76,762.477,1014.961,5499.32
ZMB,Zambia,2035,0.0,5182.669,1220.761,925.726,2222.501,5668.314
ZWE,Zimbabwe,2020,0.0,0.0,1529.92,638.188,386.452,3145.8999999999996
ZWE,Zimbabwe,2025,0.0,0.0,1633.019,668.949,419.611,3708.1820000000007
ZWE,Zimbabwe,2030,0.0,0.0,1844.741,753.306,778.937,3993.2950000000005
ZWE,Zimbabwe,2035,0.0,0.0,2141.738,1426.506,352.598,4659.668000000001
