agglosID,agglosName,ISO3,Longitude,Latitude
2,24 al-qurashy,SDN,32.77254772472802,14.24769399348855
4,42nd hill,ZAF,29.102040535855423,-28.24147209727566
5,"Siigadhere (caabuduwaaq, balan-bale)",SOM,46.240506254097426,6.238627955899522
6,'adaado,SOM,46.62975439564129,6.136147606769011
7,Aaliyab,SDN,33.78918262288323,17.308127314101846
8,Aasalaya,SDN,32.71771835887318,13.2415879096998
9,Aba,NGA,7.367388971359402,5.187792505198604
10,Aba,COD,30.21471068952386,3.8617088819127297
15,Abaji,NGA,6.94796341256058,8.472226076296003
17,Abakaliki,NGA,8.078042741920676,6.378187382818328
18,Abala,ETH,39.75575196114907,13.356875041383544
19,Abala maidagi,NER,3.426700433838966,14.925938339462395
20,Abalak,NER,6.281739725220833,15.461143387227239
24,Abderafi,ETH,36.470138565827,13.698244009910907
25,Abdi ii,TCD,21.30737069278196,12.80809581889373
26,Abduka,NGA,4.315914193947009,8.262938326349836
27,Abéché,TCD,20.824304668874383,13.821419896550374
28,Abengourou,CIV,-3.496075147749311,6.73274167771489
29,Abeokuta,NGA,3.346381679796243,7.1544881195014645
30,Abetifi,GHA,-0.7421203207500012,6.677869020184842
31,Abgadam camp,TCD,22.84502338806286,10.950191346084436
32,Abidjan,CIV,-4.001791803313798,5.359229622572584
34,Abinsi,NGA,8.74829444534354,7.751496171029318
35,Abiriba,NGA,7.734515931707064,5.703732976261406
38,Abiyi adi,ETH,38.990207699659784,13.63185451500122
39,Abiyot fana,ETH,37.15281974308374,11.32769381598325
44,Abofour,GHA,-1.732930352213669,7.131258901425494
45,Abogwa,NGA,3.7101448447456424,6.64015291941976
46,Aboisso,CIV,-3.2038286785123224,5.471605550043619
47,Aboisso-comoe,CIV,-3.4022584225210597,5.735153610725545
48,Abolou,BEN,2.1457744336460145,6.8480346349175045
49,Abomey,BEN,2.0394522959985064,7.17928167074683
51,Abomsa,ETH,39.833818379719894,8.486689340492285
52,Abong-mbang,CMR,13.17963141329039,3.978910322451053
53,Abongoua 1,CIV,-4.104973999706526,6.65732647792942
54,Abonnema,NGA,6.774311490264494,4.7455830115787085
55,Abora,ETH,37.02764844491217,9.98633363236008
58,Aboude-kouassikro,CIV,-4.547651302136339,5.895364403747021
59,Abougoudam,TCD,20.751499314588433,13.658191674823152
60,Abraka,NGA,6.097014526895719,5.785656374405972
82,Abu dawn,SDN,31.13021274597753,17.9811019074942
90,Abu guta,SDN,32.732526607748696,14.930081925655267
91,Abu hamad,SDN,33.32549233865301,19.53873238010411
93,Abu hijar,SDN,33.986860864940326,12.85574121908847
96,Abu jabra,SDN,26.740796549513036,11.065436653161493
97,Abu jubayha,SDN,31.234250606450626,11.467883254993513
100,Abu karinka,SDN,26.545339793290776,11.585845380783395
101,Abu karshulh khawr al-taina,SDN,30.791495266230967,12.146721726874784
103,Abu kuke,ETH,38.34294158530062,9.91099725892748
108,Abu matariq,SDN,26.20127252129961,10.984848884214642
125,Abu ushar,SDN,33.20814378122472,14.922314314154233
126,Abu zabad,SDN,29.229998463771665,12.353172010525196
130,Abud,SDN,33.13263472687308,14.226347249361845
132,Abuesi,GHA,-1.6498567176115575,4.980967725174376
133,Abuja,NGA,7.443527242939934,9.050275400951687
134,Abuja military areas,NGA,7.2612594427161055,8.968440471196093
135,Abukur,NGA,7.662253343181533,12.873278539820898
137,Bakongo (abumombazi),COD,22.15470210851965,3.687426653055633
138,Abuochicie,NGA,8.9752874286701,6.758912793982252
139,Abura dunkwa,GHA,-1.1679076310122438,5.3410204729124
145,Accra,GHA,-0.2050461037461167,5.68331748352666
147,Achalla,NGA,6.987251061303072,6.33553843170396
148,Achi 1,NGA,7.349498882910399,6.1416767469203855
149,Achi 2,NGA,7.384482723928149,10.053537913712683
150,Kashwal,SSD,29.241107974362627,7.0141865679344475
152,Ada foah,GHA,0.6270819351289307,5.780102538135194
153,Adaba,ETH,39.40633388991534,7.012223183404347
154,Adakplame,BEN,2.562510674150171,7.453237968959777
155,Adama,ETH,39.276507956191594,8.53406400653529
156,Adami tulu,ETH,38.7027713668049,7.85681005186373
157,Adayla,SDN,27.001893481330868,11.33600865694123
158,Adda daoueni,COM,44.4990764631711,-12.29790800897617
159,Addis ababa,ETH,38.77928919155672,8.956820949541934
160,Addis alem 1,ETH,38.397693642069775,9.04496760742574
161,Addis alem 2,ETH,37.088398803959734,11.204708858870012
162,Addis kidam,ETH,36.88256570770123,11.083427731282919
163,Ado awaiye,NGA,3.4290486203176114,7.832950637318057
164,Ade,TCD,21.88141275937139,12.681282821821917
166,Adebaye,ETH,36.75805984421544,14.20200658738538
168,Adeiso,GHA,-0.4867960530446918,5.794893081635428
169,Adele,ETH,39.9113643715594,7.792178258228967
172,Adet,ETH,37.492755912748166,11.254201466914427
173,Adeta,TGO,0.7314369899509879,7.124804022538998
176,Adhi bdo (arcugi),ERI,36.86362869252509,14.962874053966672
179,Adi gudom,ETH,39.52041554619045,13.245012463317805
180,Adi keyih,ERI,39.37205207805842,14.847689891180389
181,Adi remets,ETH,37.32153999097687,13.75020358886377
182,Adi tekelezan,ERI,38.774406829104144,15.572457778878862
183,Adiake,CIV,-3.3046922625224187,5.286605392141517
185,Adigrat,ETH,39.462919474074425,14.28563600469975
186,Adikpo,NGA,9.240423674873918,6.889057238289145
187,Adina,GHA,1.0581131923703897,6.021410251823812
188,Adiquala,ERI,38.83011594119147,14.637345285854499
189,Adis zemen,ETH,37.77933690316943,12.123636258351942
190,Adishohu,ETH,39.51636604741129,12.933284195550144
