,ISO3,year,RP,SSP,Future_RP,EP,Future_EP,mult,xmax_2050_RP5-10-100
0,AGO,2025.0,5.0,SSP1-1.9,4.2,0.2,0.23809523809523808,1.1904761904761902,39.64321110009911
1,AGO,2025.0,10.0,SSP1-1.9,8.15,0.1,0.12269938650306748,1.2269938650306749,19.821605550049554
2,AGO,2025.0,100.0,SSP1-1.9,73.48,0.01,0.01360914534567229,1.360914534567229,1.9821605550049552
3,AGO,2025.0,5.0,SSP1-2.6,4.23,0.2,0.23640661938534277,1.1820330969267139,39.64321110009911
4,AGO,2025.0,10.0,SSP1-2.6,8.18,0.1,0.12224938875305624,1.2224938875305624,19.821605550049554
5,AGO,2025.0,100.0,SSP1-2.6,73.18,0.01,0.013664935774801858,1.3664935774801856,1.9821605550049552
6,AGO,2025.0,5.0,SSP2-4.5,4.25,0.2,0.23529411764705882,1.176470588235294,39.64321110009911
7,AGO,2025.0,10.0,SSP2-4.5,8.22,0.1,0.121654501216545,1.21654501216545,19.821605550049554
8,AGO,2025.0,100.0,SSP2-4.5,73.88,0.01,0.01353546291283162,1.353546291283162,1.9821605550049552
9,AGO,2025.0,5.0,SSP3-7.0,4.28,0.2,0.2336448598130841,1.1682242990654206,39.64321110009911
10,AGO,2025.0,10.0,SSP3-7.0,8.31,0.1,0.12033694344163658,1.2033694344163657,19.821605550049554
11,AGO,2025.0,100.0,SSP3-7.0,74.93,0.01,0.013345789403443213,1.3345789403443213,1.9821605550049552
12,AGO,2025.0,5.0,SSP5-8.5,4.24,0.2,0.23584905660377356,1.1792452830188678,39.64321110009911
13,AGO,2025.0,10.0,SSP5-8.5,8.19,0.1,0.12210012210012211,1.221001221001221,19.821605550049554
14,AGO,2025.0,100.0,SSP5-8.5,73.52,0.01,0.013601741022850925,1.3601741022850924,1.9821605550049552
15,AGO,2050.0,5.0,SSP1-1.9,4.08,0.2,0.24509803921568626,1.2254901960784312,39.64321110009911
16,AGO,2050.0,10.0,SSP1-1.9,7.8,0.1,0.12820512820512822,1.2820512820512822,19.821605550049554
17,AGO,2050.0,100.0,SSP1-1.9,67.4,0.01,0.014836795252225518,1.4836795252225519,1.9821605550049552
18,AGO,2050.0,5.0,SSP1-2.6,3.83,0.2,0.2610966057441253,1.3054830287206265,39.64321110009911
19,AGO,2050.0,10.0,SSP1-2.6,7.24,0.1,0.13812154696132597,1.3812154696132597,19.821605550049554
20,AGO,2050.0,100.0,SSP1-2.6,60.78,0.01,0.016452780519907863,1.6452780519907864,1.9821605550049552
21,AGO,2050.0,5.0,SSP2-4.5,3.64,0.2,0.2747252747252747,1.3736263736263734,39.64321110009911
22,AGO,2050.0,10.0,SSP2-4.5,6.84,0.1,0.14619883040935672,1.461988304093567,19.821605550049554
23,AGO,2050.0,100.0,SSP2-4.5,55.17,0.01,0.0181257930034439,1.81257930034439,1.9821605550049552
24,AGO,2050.0,5.0,SSP3-7.0,3.57,0.2,0.2801120448179272,1.4005602240896358,39.64321110009911
25,AGO,2050.0,10.0,SSP3-7.0,6.67,0.1,0.14992503748125938,1.4992503748125936,19.821605550049554
26,AGO,2050.0,100.0,SSP3-7.0,53.27,0.01,0.018772292096865026,1.8772292096865026,1.9821605550049552
27,AGO,2050.0,5.0,SSP5-8.5,3.38,0.2,0.2958579881656805,1.4792899408284024,39.64321110009911
28,AGO,2050.0,10.0,SSP5-8.5,6.27,0.1,0.1594896331738437,1.594896331738437,19.821605550049554
29,AGO,2050.0,100.0,SSP5-8.5,48.58,0.01,0.02058460271716756,2.058460271716756,1.9821605550049552
30,AGO,2075.0,5.0,SSP1-1.9,4.25,0.2,0.23529411764705882,1.176470588235294,39.64321110009911
31,AGO,2075.0,10.0,SSP1-1.9,8.14,0.1,0.12285012285012284,1.2285012285012282,19.821605550049554
32,AGO,2075.0,100.0,SSP1-1.9,71.29,0.01,0.014027212792818065,1.4027212792818065,1.9821605550049552
33,AGO,2075.0,5.0,SSP1-2.6,3.72,0.2,0.26881720430107525,1.3440860215053763,39.64321110009911
34,AGO,2075.0,10.0,SSP1-2.6,6.98,0.1,0.14326647564469913,1.4326647564469912,19.821605550049554
35,AGO,2075.0,100.0,SSP1-2.6,57.23,0.01,0.01747335313646689,1.747335313646689,1.9821605550049552
36,AGO,2075.0,5.0,SSP2-4.5,3.19,0.2,0.31347962382445144,1.567398119122257,39.64321110009911
